"Year","Month","Day","Hour","KMCh","KIR1h","KIR3h","LRCh","ATYh","TTYh"
2015,1,1,0,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,1,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,2,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,3,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,4,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,5,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,6,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,7,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,8,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,9,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,10,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,11,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,12,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,13,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,14,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,15,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,16,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,17,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,18,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,19,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,20,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,21,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,22,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,1,23,21.4351,3.9173,3.7653,64.7013,46.6428,34.9185
2015,1,2,0,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,1,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,2,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,3,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,4,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,5,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,6,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,7,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,8,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,9,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,10,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,11,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,12,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,13,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,14,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,15,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,16,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,17,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,18,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,19,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,20,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
2015,1,2,21,21.2231,3.9127,3.7628,64.5448,46.6051,36.7607
