,Node,Time,Value
0,ATYh,1,12.857
1,ATYh,2,12.857
2,ATYh,3,12.857
3,ATYh,4,12.857
4,ATYh,5,12.857
5,ATYh,6,12.857
6,ATYh,7,12.857
7,ATYh,8,12.857
8,ATYh,9,12.857
9,ATYh,10,12.857
10,ATYh,11,12.857
11,ATYh,12,12.857
12,ATYh,13,12.857
13,ATYh,14,12.857
14,ATYh,15,12.857
15,ATYh,16,12.857
16,ATYh,17,12.857
17,ATYh,18,12.857
18,ATYh,19,12.857
19,ATYh,20,12.857
20,ATYh,21,12.857
21,ATYh,22,12.857
22,ATYh,23,12.857
23,ATYh,24,12.857
24,KIR3h,1,0.0
25,KIR3h,2,0.0
26,KIR3h,3,0.0
27,KIR3h,4,0.0
28,KIR3h,5,0.0
29,KIR3h,6,0.0
30,KIR3h,7,0.0
31,KIR3h,8,0.0
32,KIR3h,9,0.0
33,KIR3h,10,0.0
34,KIR3h,11,0.0
35,KIR3h,12,0.0
36,KIR3h,13,0.0
37,KIR3h,14,0.0
38,KIR3h,15,0.0
39,KIR3h,16,0.0
40,KIR3h,17,0.0
41,KIR3h,18,0.0
42,KIR3h,19,0.0
43,KIR3h,20,0.0
44,KIR3h,21,0.0
45,KIR3h,22,0.0
46,KIR3h,23,0.0
47,KIR3h,24,0.0
48,KMCh,1,16.8775
49,KMCh,2,16.8775
50,KMCh,3,16.8775
51,KMCh,4,16.8775
52,KMCh,5,16.8775
53,KMCh,6,16.8775
54,KMCh,7,16.8775
55,KMCh,8,16.8775
56,KMCh,9,16.8775
57,KMCh,10,16.8775
58,KMCh,11,16.8775
59,KMCh,12,16.8775
60,KMCh,13,16.8775
61,KMCh,14,16.8775
62,KMCh,15,16.8775
63,KMCh,16,16.8775
64,KMCh,17,16.8775
65,KMCh,18,16.8775
66,KMCh,19,16.8775
67,KMCh,20,16.8775
68,KMCh,21,16.8775
69,KMCh,22,16.8775
70,KMCh,23,16.8775
71,KMCh,24,16.8775
72,KIR1h,1,8.041
73,KIR1h,2,8.041
74,KIR1h,3,8.041
75,KIR1h,4,8.041
76,KIR1h,5,8.041
77,KIR1h,6,8.041
78,KIR1h,7,8.041
79,KIR1h,8,8.041
80,KIR1h,9,8.041
81,KIR1h,10,8.041
82,KIR1h,11,8.041
83,KIR1h,12,8.041
84,KIR1h,13,8.041
85,KIR1h,14,8.041
86,KIR1h,15,8.041
87,KIR1h,16,8.041
88,KIR1h,17,8.041
89,KIR1h,18,8.041
90,KIR1h,19,8.041
91,KIR1h,20,8.041
92,KIR1h,21,8.041
93,KIR1h,22,8.041
94,KIR1h,23,8.041
95,KIR1h,24,8.041
96,TTYh,1,35.74375
97,TTYh,2,35.74375
98,TTYh,3,35.74375
99,TTYh,4,35.74375
100,TTYh,5,35.74375
101,TTYh,6,35.74375
102,TTYh,7,35.74375
103,TTYh,8,35.74375
104,TTYh,9,35.74375
105,TTYh,10,35.74375
106,TTYh,11,35.74375
107,TTYh,12,35.74375
108,TTYh,13,35.74375
109,TTYh,14,35.74375
110,TTYh,15,35.74375
111,TTYh,16,35.74375
112,TTYh,17,35.74375
113,TTYh,18,35.74375
114,TTYh,19,35.74375
115,TTYh,20,35.74375
116,TTYh,21,35.74375
117,TTYh,22,35.74375
118,TTYh,23,35.74375
119,TTYh,24,35.74375
120,LRCh,1,126.83925
121,LRCh,2,126.83925
122,LRCh,3,126.83925
123,LRCh,4,126.83925
124,LRCh,5,126.83925
125,LRCh,6,126.83925
126,LRCh,7,126.83925
127,LRCh,8,126.83925
128,LRCh,9,126.83925
129,LRCh,10,126.83925
130,LRCh,11,126.83925
131,LRCh,12,126.83925
132,LRCh,13,126.83925
133,LRCh,14,126.83925
134,LRCh,15,126.83925
135,LRCh,16,126.83925
136,LRCh,17,126.83925
137,LRCh,18,126.83925
138,LRCh,19,126.83925
139,LRCh,20,126.83925
140,LRCh,21,126.83925
141,LRCh,22,126.83925
142,LRCh,23,126.83925
143,LRCh,24,126.83925
144,ATYh,25,13.21175
145,ATYh,26,13.21175
146,ATYh,27,13.21175
147,ATYh,28,13.21175
148,ATYh,29,13.21175
149,ATYh,30,13.21175
150,ATYh,31,13.21175
151,ATYh,32,13.21175
152,ATYh,33,13.21175
153,ATYh,34,13.21175
154,ATYh,35,13.21175
155,ATYh,36,13.21175
156,ATYh,37,13.21175
157,ATYh,38,13.21175
158,ATYh,39,13.21175
159,ATYh,40,13.21175
160,ATYh,41,13.21175
161,ATYh,42,13.21175
162,ATYh,43,13.21175
163,ATYh,44,13.21175
164,ATYh,45,13.21175
165,ATYh,46,13.21175
166,ATYh,47,13.21175
167,ATYh,48,13.21175
168,KIR3h,25,9.417
169,KIR3h,26,9.417
170,KIR3h,27,9.417
171,KIR3h,28,9.417
172,KIR3h,29,9.417
173,KIR3h,30,9.417
174,KIR3h,31,9.417
175,KIR3h,32,9.417
176,KIR3h,33,9.417
177,KIR3h,34,9.417
178,KIR3h,35,9.417
179,KIR3h,36,9.417
180,KIR3h,37,9.417
181,KIR3h,38,9.417
182,KIR3h,39,9.417
183,KIR3h,40,9.417
184,KIR3h,41,9.417
185,KIR3h,42,9.417
186,KIR3h,43,9.417
187,KIR3h,44,9.417
188,KIR3h,45,9.417
189,KIR3h,46,9.417
190,KIR3h,47,9.417
191,KIR3h,48,9.417
192,KMCh,25,42.17225
193,KMCh,26,42.17225
194,KMCh,27,42.17225
195,KMCh,28,42.17225
196,KMCh,29,42.17225
197,KMCh,30,42.17225
198,KMCh,31,42.17225
199,KMCh,32,42.17225
200,KMCh,33,42.17225
201,KMCh,34,42.17225
202,KMCh,35,42.17225
203,KMCh,36,42.17225
204,KMCh,37,42.17225
205,KMCh,38,42.17225
206,KMCh,39,42.17225
207,KMCh,40,42.17225
208,KMCh,41,42.17225
209,KMCh,42,42.17225
210,KMCh,43,42.17225
211,KMCh,44,42.17225
212,KMCh,45,42.17225
213,KMCh,46,42.17225
214,KMCh,47,42.17225
215,KMCh,48,42.17225
216,KIR1h,25,8.041
217,KIR1h,26,8.041
218,KIR1h,27,8.041
219,KIR1h,28,8.041
220,KIR1h,29,8.041
221,KIR1h,30,8.041
222,KIR1h,31,8.041
223,KIR1h,32,8.041
224,KIR1h,33,8.041
225,KIR1h,34,8.041
226,KIR1h,35,8.041
227,KIR1h,36,8.041
228,KIR1h,37,8.041
229,KIR1h,38,8.041
230,KIR1h,39,8.041
231,KIR1h,40,8.041
232,KIR1h,41,8.041
233,KIR1h,42,8.041
234,KIR1h,43,8.041
235,KIR1h,44,8.041
236,KIR1h,45,8.041
237,KIR1h,46,8.041
238,KIR1h,47,8.041
239,KIR1h,48,8.041
240,TTYh,25,34.142
241,TTYh,26,34.142
242,TTYh,27,34.142
243,TTYh,28,34.142
244,TTYh,29,34.142
245,TTYh,30,34.142
246,TTYh,31,34.142
247,TTYh,32,34.142
248,TTYh,33,34.142
249,TTYh,34,34.142
250,TTYh,35,34.142
251,TTYh,36,34.142
252,TTYh,37,34.142
253,TTYh,38,34.142
254,TTYh,39,34.142
255,TTYh,40,34.142
256,TTYh,41,34.142
257,TTYh,42,34.142
258,TTYh,43,34.142
259,TTYh,44,34.142
260,TTYh,45,34.142
261,TTYh,46,34.142
262,TTYh,47,34.142
263,TTYh,48,34.142
264,LRCh,25,125.80725
265,LRCh,26,125.80725
266,LRCh,27,125.80725
267,LRCh,28,125.80725
268,LRCh,29,125.80725
269,LRCh,30,125.80725
270,LRCh,31,125.80725
271,LRCh,32,125.80725
272,LRCh,33,125.80725
273,LRCh,34,125.80725
274,LRCh,35,125.80725
275,LRCh,36,125.80725
276,LRCh,37,125.80725
277,LRCh,38,125.80725
278,LRCh,39,125.80725
279,LRCh,40,125.80725
280,LRCh,41,125.80725
281,LRCh,42,125.80725
282,LRCh,43,125.80725
283,LRCh,44,125.80725
284,LRCh,45,125.80725
285,LRCh,46,125.80725
286,LRCh,47,125.80725
287,LRCh,48,125.80725
288,ATYh,49,12.73875
289,ATYh,50,12.73875
290,ATYh,51,12.73875
291,ATYh,52,12.73875
292,ATYh,53,12.73875
293,ATYh,54,12.73875
294,ATYh,55,12.73875
295,ATYh,56,12.73875
296,ATYh,57,12.73875
297,ATYh,58,12.73875
298,ATYh,59,12.73875
299,ATYh,60,12.73875
300,ATYh,61,12.73875
301,ATYh,62,12.73875
302,ATYh,63,12.73875
303,ATYh,64,12.73875
304,ATYh,65,12.73875
305,ATYh,66,12.73875
306,ATYh,67,12.73875
307,ATYh,68,12.73875
308,ATYh,69,12.73875
309,ATYh,70,12.73875
310,ATYh,71,12.73875
311,ATYh,72,12.73875
312,KIR3h,49,18.0
313,KIR3h,50,18.0
314,KIR3h,51,18.0
315,KIR3h,52,18.0
316,KIR3h,53,18.0
317,KIR3h,54,18.0
318,KIR3h,55,18.0
319,KIR3h,56,18.0
320,KIR3h,57,18.0
321,KIR3h,58,18.0
322,KIR3h,59,18.0
323,KIR3h,60,18.0
324,KIR3h,61,18.0
325,KIR3h,62,18.0
326,KIR3h,63,18.0
327,KIR3h,64,18.0
328,KIR3h,65,18.0
329,KIR3h,66,18.0
330,KIR3h,67,18.0
331,KIR3h,68,18.0
332,KIR3h,69,18.0
333,KIR3h,70,18.0
334,KIR3h,71,18.0
335,KIR3h,72,18.0
336,KMCh,49,40.549
337,KMCh,50,40.549
338,KMCh,51,40.549
339,KMCh,52,40.549
340,KMCh,53,40.549
341,KMCh,54,40.549
342,KMCh,55,40.549
343,KMCh,56,40.549
344,KMCh,57,40.549
345,KMCh,58,40.549
346,KMCh,59,40.549
347,KMCh,60,40.549
348,KMCh,61,40.549
349,KMCh,62,40.549
350,KMCh,63,40.549
351,KMCh,64,40.549
352,KMCh,65,40.549
353,KMCh,66,40.549
354,KMCh,67,40.549
355,KMCh,68,40.549
356,KMCh,69,40.549
357,KMCh,70,40.549
358,KMCh,71,40.549
359,KMCh,72,40.549
360,KIR1h,49,12.0
361,KIR1h,50,12.0
362,KIR1h,51,12.0
363,KIR1h,52,12.0
364,KIR1h,53,12.0
365,KIR1h,54,12.0
366,KIR1h,55,12.0
367,KIR1h,56,12.0
368,KIR1h,57,12.0
369,KIR1h,58,12.0
370,KIR1h,59,12.0
371,KIR1h,60,12.0
372,KIR1h,61,12.0
373,KIR1h,62,12.0
374,KIR1h,63,12.0
375,KIR1h,64,12.0
376,KIR1h,65,12.0
377,KIR1h,66,12.0
378,KIR1h,67,12.0
379,KIR1h,68,12.0
380,KIR1h,69,12.0
381,KIR1h,70,12.0
382,KIR1h,71,12.0
383,KIR1h,72,12.0
384,TTYh,49,35.57175
385,TTYh,50,35.57175
386,TTYh,51,35.57175
387,TTYh,52,35.57175
388,TTYh,53,35.57175
389,TTYh,54,35.57175
390,TTYh,55,35.57175
391,TTYh,56,35.57175
392,TTYh,57,35.57175
393,TTYh,58,35.57175
394,TTYh,59,35.57175
395,TTYh,60,35.57175
396,TTYh,61,35.57175
397,TTYh,62,35.57175
398,TTYh,63,35.57175
399,TTYh,64,35.57175
400,TTYh,65,35.57175
401,TTYh,66,35.57175
402,TTYh,67,35.57175
403,TTYh,68,35.57175
404,TTYh,69,35.57175
405,TTYh,70,35.57175
406,TTYh,71,35.57175
407,TTYh,72,35.57175
408,LRCh,49,124.79675
409,LRCh,50,124.79675
410,LRCh,51,124.79675
411,LRCh,52,124.79675
412,LRCh,53,124.79675
413,LRCh,54,124.79675
414,LRCh,55,124.79675
415,LRCh,56,124.79675
416,LRCh,57,124.79675
417,LRCh,58,124.79675
418,LRCh,59,124.79675
419,LRCh,60,124.79675
420,LRCh,61,124.79675
421,LRCh,62,124.79675
422,LRCh,63,124.79675
423,LRCh,64,124.79675
424,LRCh,65,124.79675
425,LRCh,66,124.79675
426,LRCh,67,124.79675
427,LRCh,68,124.79675
428,LRCh,69,124.79675
429,LRCh,70,124.79675
430,LRCh,71,124.79675
431,LRCh,72,124.79675
432,ATYh,73,12.26575
433,ATYh,74,12.26575
434,ATYh,75,12.26575
435,ATYh,76,12.26575
436,ATYh,77,12.26575
437,ATYh,78,12.26575
438,ATYh,79,12.26575
439,ATYh,80,12.26575
440,ATYh,81,12.26575
441,ATYh,82,12.26575
442,ATYh,83,12.26575
443,ATYh,84,12.26575
444,ATYh,85,12.26575
445,ATYh,86,12.26575
446,ATYh,87,12.26575
447,ATYh,88,12.26575
448,ATYh,89,12.26575
449,ATYh,90,12.26575
450,ATYh,91,12.26575
451,ATYh,92,12.26575
452,ATYh,93,12.26575
453,ATYh,94,12.26575
454,ATYh,95,12.26575
455,ATYh,96,12.26575
456,KIR3h,73,18.0
457,KIR3h,74,18.0
458,KIR3h,75,18.0
459,KIR3h,76,18.0
460,KIR3h,77,18.0
461,KIR3h,78,18.0
462,KIR3h,79,18.0
463,KIR3h,80,18.0
464,KIR3h,81,18.0
465,KIR3h,82,18.0
466,KIR3h,83,18.0
467,KIR3h,84,18.0
468,KIR3h,85,18.0
469,KIR3h,86,18.0
470,KIR3h,87,18.0
471,KIR3h,88,18.0
472,KIR3h,89,18.0
473,KIR3h,90,18.0
474,KIR3h,91,18.0
475,KIR3h,92,18.0
476,KIR3h,93,18.0
477,KIR3h,94,18.0
478,KIR3h,95,18.0
479,KIR3h,96,18.0
480,KMCh,73,29.16475
481,KMCh,74,29.16475
482,KMCh,75,29.16475
483,KMCh,76,29.16475
484,KMCh,77,29.16475
485,KMCh,78,29.16475
486,KMCh,79,29.16475
487,KMCh,80,29.16475
488,KMCh,81,29.16475
489,KMCh,82,29.16475
490,KMCh,83,29.16475
491,KMCh,84,29.16475
492,KMCh,85,29.16475
493,KMCh,86,29.16475
494,KMCh,87,29.16475
495,KMCh,88,29.16475
496,KMCh,89,29.16475
497,KMCh,90,29.16475
498,KMCh,91,29.16475
499,KMCh,92,29.16475
500,KMCh,93,29.16475
501,KMCh,94,29.16475
502,KMCh,95,29.16475
503,KMCh,96,29.16475
504,KIR1h,73,12.0
505,KIR1h,74,12.0
506,KIR1h,75,12.0
507,KIR1h,76,12.0
508,KIR1h,77,12.0
509,KIR1h,78,12.0
510,KIR1h,79,12.0
511,KIR1h,80,12.0
512,KIR1h,81,12.0
513,KIR1h,82,12.0
514,KIR1h,83,12.0
515,KIR1h,84,12.0
516,KIR1h,85,12.0
517,KIR1h,86,12.0
518,KIR1h,87,12.0
519,KIR1h,88,12.0
520,KIR1h,89,12.0
521,KIR1h,90,12.0
522,KIR1h,91,12.0
523,KIR1h,92,12.0
524,KIR1h,93,12.0
525,KIR1h,94,12.0
526,KIR1h,95,12.0
527,KIR1h,96,12.0
528,TTYh,73,32.981
529,TTYh,74,32.981
530,TTYh,75,32.981
531,TTYh,76,32.981
532,TTYh,77,32.981
533,TTYh,78,32.981
534,TTYh,79,32.981
535,TTYh,80,32.981
536,TTYh,81,32.981
537,TTYh,82,32.981
538,TTYh,83,32.981
539,TTYh,84,32.981
540,TTYh,85,32.981
541,TTYh,86,32.981
542,TTYh,87,32.981
543,TTYh,88,32.981
544,TTYh,89,32.981
545,TTYh,90,32.981
546,TTYh,91,32.981
547,TTYh,92,32.981
