,Node,Time,Value
0,Salabam,1,5.0
1,Salabam,2,5.0
2,Salabam,3,5.0
3,Salabam,4,5.0
4,Salabam,5,5.0
5,Salabam,6,5.0
6,Salabam,7,5.0
7,Salabam,8,5.0
8,Salabam,9,5.0
9,Salabam,10,5.0
10,Salabam,11,5.0
11,Salabam,12,5.0
12,Salabam,13,5.0
13,Salabam,14,5.0
14,Salabam,15,5.0
15,Salabam,16,5.0
16,Salabam,17,5.0
17,Salabam,18,5.0
18,Salabam,19,5.0
19,Salabam,20,5.0
20,Salabam,21,5.0
21,Salabam,22,5.0
22,Salabam,23,5.0
23,Salabam,24,5.0
24,Salabam,25,5.0
25,Salabam,26,5.0
26,Salabam,27,5.0
27,Salabam,28,5.0
28,Salabam,29,5.0
29,Salabam,30,5.0
30,Salabam,31,5.0
31,Salabam,32,5.0
32,Salabam,33,5.0
33,Salabam,34,5.0
34,Salabam,35,5.0
35,Salabam,36,5.0
36,Salabam,37,5.0
37,Salabam,38,5.0
38,Salabam,39,5.0
39,Salabam,40,5.0
40,Salabam,41,5.0
41,Salabam,42,5.0
42,Salabam,43,5.0
43,Salabam,44,5.0
44,Salabam,45,5.0
45,Salabam,46,5.0
46,Salabam,47,5.0
47,Salabam,48,5.0
48,Salabam,49,5.0
49,Salabam,50,5.0
50,Salabam,51,5.0
51,Salabam,52,5.0
52,Salabam,53,5.0
53,Salabam,54,5.0
54,Salabam,55,5.0
55,Salabam,56,5.0
56,Salabam,57,5.0
57,Salabam,58,5.0
58,Salabam,59,5.0
59,Salabam,60,5.0
60,Salabam,61,5.0
61,Salabam,62,5.0
62,Salabam,63,5.0
63,Salabam,64,5.0
64,Salabam,65,5.0
65,Salabam,66,5.0
66,Salabam,67,5.0
67,Salabam,68,5.0
68,Salabam,69,5.0
69,Salabam,70,5.0
70,Salabam,71,5.0
71,Salabam,72,5.0
72,Salabam,73,5.0
73,Salabam,74,5.0
74,Salabam,75,5.0
75,Salabam,76,5.0
76,Salabam,77,5.0
77,Salabam,78,5.0
78,Salabam,79,5.0
79,Salabam,80,5.0
