year,month,day,hour,Node2
2016,1,1,1,58.4
2016,1,1,2,56.8
2016,1,1,3,54.6
2016,1,1,4,53.3
2016,1,1,5,53.1
2016,1,1,6,54.5
2016,1,1,7,65.4
2016,1,1,8,78
2016,1,1,9,84.4
2016,1,1,10,84.5
2016,1,1,11,80.5
2016,1,1,12,77.3
2016,1,1,13,84.1
2016,1,1,14,87.2
2016,1,1,15,83.6
2016,1,1,16,79.5
2016,1,1,17,72.1
2016,1,1,18,69.5
2016,1,1,19,73.9
2016,1,1,20,74.1
2016,1,1,21,75.8
2016,1,1,22,70.8
2016,1,1,23,65
2016,1,1,24,61.7
2016,1,2,1,52.5
2016,1,2,2,51.2
2016,1,2,3,49.2
2016,1,2,4,48
2016,1,2,5,47.8
2016,1,2,6,49.1
2016,1,2,7,58.8
2016,1,2,8,70.2
2016,1,2,9,75.9
2016,1,2,10,76
2016,1,2,11,72.5
2016,1,2,12,69.5
2016,1,2,13,75.7
2016,1,2,14,78.5
2016,1,2,15,75.3
2016,1,2,16,71.5
2016,1,2,17,64.9
2016,1,2,18,62.5
2016,1,2,19,66.5
2016,1,2,20,66.7
2016,1,2,21,68.2
2016,1,2,22,63.7
2016,1,2,23,58.6
2016,1,2,24,55.5
2016,1,3,1,52.5
2016,1,3,2,51.2
2016,1,3,3,49.2
2016,1,3,4,48
2016,1,3,5,47.8
2016,1,3,6,49.1
2016,1,3,7,58.8
2016,1,3,8,70.2
2016,1,3,9,75.9
2016,1,3,10,76
2016,1,3,11,72.5
2016,1,3,12,69.5
2016,1,3,13,75.7
2016,1,3,14,78.5
2016,1,3,15,75.3
2016,1,3,16,71.5
2016,1,3,17,64.9
2016,1,3,18,62.5
2016,1,3,19,66.5
2016,1,3,20,66.7
2016,1,3,21,68.2
2016,1,3,22,63.7
2016,1,3,23,58.6
2016,1,3,24,55.5
2016,1,4,1,58.4
2016,1,4,2,56.8
2016,1,4,3,54.6
2016,1,4,4,53.3
2016,1,4,5,53.1
2016,1,4,6,54.5
2016,1,4,7,65.4
2016,1,4,8,78
2016,1,4,9,84.4
2016,1,4,10,84.5
2016,1,4,11,80.5
2016,1,4,12,77.3
2016,1,4,13,84.1
2016,1,4,14,87.2
2016,1,4,15,83.6
2016,1,4,16,79.5
2016,1,4,17,72.1
2016,1,4,18,69.5
2016,1,4,19,73.9
2016,1,4,20,74.1
2016,1,4,21,75.8
2016,1,4,22,70.8
2016,1,4,23,65
2016,1,4,24,61.7
2016,1,5,1,58.4
2016,1,5,2,56.8
2016,1,5,3,54.6
2016,1,5,4,53.3
2016,1,5,5,53.1
2016,1,5,6,54.5
2016,1,5,7,65.4
2016,1,5,8,78
2016,1,5,9,84.4
2016,1,5,10,84.5
2016,1,5,11,80.5
2016,1,5,12,77.3
2016,1,5,13,84.1
2016,1,5,14,87.2
2016,1,5,15,83.6
2016,1,5,16,79.5
2016,1,5,17,72.1
2016,1,5,18,69.5
2016,1,5,19,73.9
2016,1,5,20,74.1
2016,1,5,21,75.8
2016,1,5,22,70.8
2016,1,5,23,65
2016,1,5,24,61.7
2016,1,6,1,58.4
2016,1,6,2,56.8
2016,1,6,3,54.6
2016,1,6,4,53.3
2016,1,6,5,53.1
2016,1,6,6,54.5
2016,1,6,7,65.4
2016,1,6,8,78
2016,1,6,9,84.4
2016,1,6,10,84.5
2016,1,6,11,80.5
2016,1,6,12,77.3
2016,1,6,13,84.1
2016,1,6,14,87.2
2016,1,6,15,83.6
2016,1,6,16,79.5
2016,1,6,17,72.1
2016,1,6,18,69.5
2016,1,6,19,73.9
2016,1,6,20,74.1
2016,1,6,21,75.8
2016,1,6,22,70.8
2016,1,6,23,65
2016,1,6,24,61.7
2016,1,7,1,58.4
2016,1,7,2,56.8
2016,1,7,3,54.6
2016,1,7,4,53.3
2016,1,7,5,53.1
2016,1,7,6,54.5
2016,1,7,7,65.4
2016,1,7,8,78
2016,1,7,9,84.4
2016,1,7,10,84.5
2016,1,7,11,80.5
2016,1,7,12,77.3
2016,1,7,13,84.1
2016,1,7,14,87.2
2016,1,7,15,83.6
2016,1,7,16,79.5
2016,1,7,17,72.1
2016,1,7,18,69.5
2016,1,7,19,73.9
2016,1,7,20,74.1
2016,1,7,21,75.8
2016,1,7,22,70.8
2016,1,7,23,65
2016,1,7,24,61.7
2016,1,8,1,58.4
2016,1,8,2,56.8
2016,1,8,3,54.6
2016,1,8,4,53.3
2016,1,8,5,53.1
2016,1,8,6,54.5
2016,1,8,7,65.4
2016,1,8,8,78
2016,1,8,9,84.4
2016,1,8,10,84.5
2016,1,8,11,80.5
2016,1,8,12,77.3
2016,1,8,13,84.1
2016,1,8,14,87.2
2016,1,8,15,83.6
2016,1,8,16,79.5
2016,1,8,17,72.1
2016,1,8,18,69.5
2016,1,8,19,73.9
2016,1,8,20,74.1
2016,1,8,21,75.8
2016,1,8,22,70.8
2016,1,8,23,65
2016,1,8,24,61.7
2016,1,9,1,52.5
2016,1,9,2,51.2
2016,1,9,3,49.2
2016,1,9,4,48
2016,1,9,5,47.8
2016,1,9,6,49.1
2016,1,9,7,58.8
2016,1,9,8,70.2
2016,1,9,9,75.9
2016,1,9,10,76
2016,1,9,11,72.5
2016,1,9,12,69.5
2016,1,9,13,75.7
2016,1,9,14,78.5
2016,1,9,15,75.3
2016,1,9,16,71.5
2016,1,9,17,64.9
2016,1,9,18,62.5
2016,1,9,19,66.5
2016,1,9,20,66.7
2016,1,9,21,68.2
2016,1,9,22,63.7
2016,1,9,23,58.6
2016,1,9,24,55.5
2016,1,10,1,52.5
2016,1,10,2,51.2
2016,1,10,3,49.2
2016,1,10,4,48
2016,1,10,5,47.8
2016,1,10,6,49.1
2016,1,10,7,58.8
2016,1,10,8,70.2
2016,1,10,9,75.9
2016,1,10,10,76
2016,1,10,11,72.5
