year,month,day,hour,GS1,GS2,GS3,GS4,GS5,GS6,GS7,SRP,SHV,KPCM,BTB,BMC,STR,TKO,KPT,KPS
2016,1,1,0,71.6,71.6,53.7,35.8,53.7,35.8,64.7,39,21.8,25.6,30.8,11.4,7.1,10.9,10.4,19.9
2016,1,1,1,69.7,69.7,52.3,34.9,52.3,34.9,63,38,21.2,24.9,29.9,11.1,6.9,10.6,10.1,19.3
2016,1,1,2,67.1,67.1,50.3,33.5,50.3,33.5,60.6,37,20.4,23.9,28.8,10.6,6.6,10.2,9.7,18.6
2016,1,1,3,65.5,65.5,49.2,32.8,49.2,32.8,59.2,36,19.9,23.4,28.1,10.4,6.5,10,9.5,18.2
2016,1,1,4,65.3,65.3,49,32.6,49,32.6,58.9,36,19.8,23.3,28,10.3,6.5,9.9,9.5,18.1
2016,1,1,5,66.9,66.9,50.2,33.5,50.2,33.5,60.4,37,20.3,23.9,28.7,10.6,6.6,10.2,9.7,18.6
2016,1,1,6,80.3,80.3,60.2,40.1,60.2,40.1,72.5,44,24.4,28.6,34.5,12.7,8,12.2,11.7,22.3
2016,1,1,7,95.6,95.6,71.7,47.8,71.7,47.8,86.4,52,29.1,34.1,41.1,15.2,9.5,14.5,13.9,26.5
2016,1,1,8,103.5,103.5,77.6,51.8,77.6,51.8,93.5,57,31.5,36.9,44.4,16.4,10.3,15.7,15,28.7
2016,1,1,9,103.6,103.6,77.7,51.8,77.7,51.8,93.6,57,31.5,37,44.5,16.4,10.3,15.7,15.1,28.8
2016,1,1,10,98.8,98.8,74.1,49.4,74.1,49.4,89.2,54,30,35.2,42.4,15.7,9.8,15,14.4,27.4
2016,1,1,11,94.9,94.9,71.2,47.4,71.2,47.4,85.7,52,28.8,33.8,40.7,15,9.4,14.4,13.8,26.3
2016,1,1,12,103.3,103.3,77.4,51.6,77.4,51.6,93.2,57,31.4,36.8,44.3,16.4,10.2,15.7,15,28.6
2016,1,1,13,107.1,107.1,80.3,53.5,80.3,53.5,96.7,59,32.5,38.2,46,17,10.6,16.3,15.6,29.7
2016,1,1,14,102.6,102.6,77,51.3,77,51.3,92.7,56,31.2,36.6,44.1,16.3,10.2,15.6,14.9,28.5
2016,1,1,15,97.5,97.5,73.2,48.8,73.2,48.8,88.1,53,29.6,34.8,41.9,15.5,9.7,14.8,14.2,27.1
2016,1,1,16,88.7,88.7,66.5,44.3,66.5,44.3,80,49,26.9,31.6,38.1,14.1,8.8,13.5,12.9,24.6
2016,1,1,17,85.4,85.4,64,42.7,64,42.7,77.1,47,25.9,30.4,36.6,13.5,8.5,13,12.4,23.7
2016,1,1,18,90.7,90.7,68,45.3,68,45.3,81.9,50,27.6,32.3,38.9,14.4,9,13.8,13.2,25.2
2016,1,1,19,91.1,91.1,68.3,45.5,68.3,45.5,82.2,50,27.7,32.5,39.1,14.4,9,13.8,13.2,25.3
2016,1,1,20,93,93,69.7,46.5,69.7,46.5,83.9,51,28.2,33.2,39.9,14.7,9.2,14.1,13.5,25.8
2016,1,1,21,86.9,86.9,65.2,43.4,65.2,43.4,78.4,48,26.4,31,37.3,13.8,8.6,13.2,12.6,24.1
2016,1,1,22,79.9,79.9,59.9,39.9,59.9,39.9,72.1,44,24.3,28.5,34.3,12.7,7.9,12.1,11.6,22.2
2016,1,1,23,75.7,75.7,56.8,37.9,56.8,37.9,68.4,42,23,27,32.5,12,7.5,11.5,11,21
2016,1,2,0,64.5,64.5,48.4,32.3,48.4,32.3,58.3,35,19.6,23,27.7,10.2,6.4,9.8,9.4,17.9
2016,1,2,1,62.7,62.7,47.1,31.4,47.1,31.4,56.7,34,19.1,22.4,26.9,9.9,6.2,9.5,9.1,17.4
2016,1,2,2,60.3,60.3,45.2,30.2,45.2,30.2,54.5,33,18.3,21.5,25.9,9.6,6,9.2,8.8,16.7
2016,1,2,3,58.9,58.9,44.2,29.5,44.2,29.5,53.2,32,17.9,21,25.3,9.3,5.8,9,8.6,16.3
2016,1,2,4,58.7,58.7,44,29.3,44,29.3,53,32,17.8,20.9,25.2,9.3,5.8,8.9,8.5,16.3
2016,1,2,5,60.2,60.2,45.2,30.1,45.2,30.1,54.4,33,18.3,21.5,25.8,9.5,6,9.1,8.7,16.7
2016,1,2,6,72.3,72.3,54.2,36.1,54.2,36.1,65.3,40,22,25.8,31,11.5,7.2,11,10.5,20
2016,1,2,7,86.1,86.1,64.6,43.1,64.6,43.1,77.8,47,26.2,30.7,37,13.7,8.5,13.1,12.5,23.9
2016,1,2,8,93.2,93.2,69.9,46.6,69.9,46.6,84.2,51,28.3,33.3,40,14.8,9.2,14.2,13.5,25.9
2016,1,2,9,93.4,93.4,70,46.7,70,46.7,84.3,51,28.4,33.3,40.1,14.8,9.2,14.2,13.6,25.9
2016,1,2,10,89,89,66.8,44.5,66.8,44.5,80.4,49,27.1,31.8,38.2,14.1,8.8,13.5,12.9,24.7
2016,1,2,11,85.4,85.4,64,42.7,64,42.7,77.1,47,25.9,30.4,36.6,13.5,8.5,13,12.4,23.7
