date,hour,KAMPONGCHAMGTS,KAMPOTCPP,KEANSVAY,SIHANOUKVILLECIIDG,SIHANOUKVILLESTUNGHAV,SIHANOUKVILLE,SIHANOUKVILLECOLBEN,KHANDANGKOR,PHUMTRORCPGC,PPSEZPLANT,CENTRALE2,CENTRALE2CUPL,KHANMEANCHAY,CENTRALE3,CENTRALE5,CENTRALE6,KHANRUSSEYKEOCOLBEN,SIEMRIEP
2016-01-01,1,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,2,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,3,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,4,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,5,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,6,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,7,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,8,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,9,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,10,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,11,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,12,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,13,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,14,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,15,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,16,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,17,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,18,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,19,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,20,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,21,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,22,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,23,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-01,24,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,1,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,2,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,3,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,4,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,5,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,6,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,7,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,8,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,9,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,10,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,11,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,12,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,13,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,14,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,15,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,16,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,17,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,18,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,19,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,20,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,21,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,22,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,23,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-02,24,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,1,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,2,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,3,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,4,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,5,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,6,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,7,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,8,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,9,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,10,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,11,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,12,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,13,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,14,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,15,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,16,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,17,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,18,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,19,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,20,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,21,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,22,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,23,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-03,24,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-04,1,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-04,2,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-04,3,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-04,4,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-04,5,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-04,6,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-04,7,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-04,8,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
2016-01-04,9,10.74,24.0,10.1,270.0,120.0,10.44,8.0,45.0,5.0,10.0,18.0,37.1,48.12,15.4,10.0,18.6,14.8,6.95
