source,sink,susceptance,line_cap,type,n_circuits,distance,source_kv,sink_kv,n_conductors,pownet_stability_limit,pownet_thermal_limit,pownet_line_capacity,pownet_reactance_pu,pownet_susceptance
GS1,GS3,0.256,238,acsr,1,12.0,115,115,2.0,2885.0,211.0,211.0,4.3776,3021
KPS,GS5,0.073,170,acsr,2,37.0,115,115,1.0,1872.0,422.0,422.0,13.4976,979
KIR1h,KPS,0.041,170,acsr,2,65.0,115,115,1.0,1066.0,422.0,422.0,23.712,557
GS1,KPS,0.066,85,acsr,1,41.0,115,115,1.0,845.0,211.0,211.0,14.956800000000001,884
Thai,IE,0.733,604,acsr,2,4.0,115,115,1.0,17309.0,422.0,422.0,1.4592,9063
IE,BMC,0.068,604,acsr,2,43.0,115,115,1.0,1611.0,422.0,422.0,15.6864,843
BMC,SRP,0.034,302,acsr,1,85.0,115,115,1.0,408.0,211.0,211.0,31.008000000000003,426
BMC,BTB,0.055,604,acsr,2,53.0,115,115,1.0,1307.0,422.0,422.0,19.334400000000002,684
TKO,GS4,0.057,860,acsr,2,46.0,230,230,1.0,6023.0,845.0,845.0,16.7808,3152
Viet,TKO,0.05,604,acsr,2,50.0,230,230,1.0,5542.0,845.0,845.0,18.240000000000002,2900
GS2,GS3,0.256,238,acsr,1,12.0,115,115,2.0,2885.0,211.0,211.0,4.3776,3021
GS4,GS2,0.096,238,acsr,1,32.0,115,115,2.0,1082.0,211.0,211.0,11.6736,1132
GS4,GS1,0.083,238,acsr,1,37.0,115,115,2.0,936.0,211.0,211.0,13.4976,979
Salabam,STR,0.305,170,acsr,2,10.0,22,22,1.0,253.0,81.0,81.0,3.648,132
TKO,KPT,0.035,604,acsr,2,73.0,230,230,1.0,3798.0,845.0,845.0,26.6304,1986
KMCh,KPT,0.228,604,acsr,2,11.0,230,230,1.0,25178.0,845.0,845.0,4.0128,13182
KPCG,PRST,0.034,1722,acsr,2,83.0,230,230,2.0,3341.0,845.0,845.0,30.2784,1747
PRST,BTB,0.023,1722,acsr,2,122.0,230,230,2.0,2276.0,845.0,845.0,44.5056,1188
OSM,PRST,0.021,1722,acsr,2,132.0,230,230,2.0,2105.0,845.0,845.0,48.153600000000004,1098
KIR1h,KIR3h,0.084,170,acsr,2,32.0,115,115,1.0,2164.0,422.0,422.0,11.6736,1132
ATYh,OSM,0.17,1722,acsr,2,18.0,115,115,1.0,3847.0,422.0,422.0,6.5664,2014
KPT,STH,0.032,860,acsr,2,82.0,230,230,1.0,3382.0,845.0,845.0,29.913600000000002,1768
SHV,STH,0.292,604,acsr,2,11.0,115,115,2.0,6294.0,422.0,422.0,4.0128,3295
GS6,KPCM,0.029,1722,acsr,2,97.0,230,230,2.0,2860.0,845.0,845.0,35.385600000000004,1494
GS6,GS5,0.059,1722,acsr,2,48.0,230,230,2.0,5772.0,845.0,845.0,17.5104,3021
LRCh,OSM,0.065,1208,acsr,4,42.0,230,230,2.0,13192.0,1689.0,1689.0,15.3216,3452
LRCh,TTYh,0.071,1722,acsr,2,38.0,230,230,2.0,7290.0,845.0,845.0,13.862400000000001,3816
GS7,GS4,0.073,476,acsr,2,42.0,115,115,2.0,1649.0,422.0,422.0,15.3216,863
GS5,GS1,0.768,238,acsr,1,3.5,115,115,1.0,9891.0,211.0,211.0,1.2768000000000002,10357
GS4,GS6,0.07,1722,acsr,2,40.0,230,230,2.0,6926.0,845.0,845.0,14.592,3625
GS6,KPCG,0.059,1722,acsr,2,48.0,230,230,2.0,5772.0,845.0,845.0,17.5104,3021
STR,KPCM,0.768,238,acsr,1,37.0,115,115,2.0,936.0,211.0,211.0,13.4976,979
KPCM,KAMPONGCHAMGTS,1.0,3333,acsr,2,1.0,750,750,2.0,4222862.0,12471.0,12471.0,0.2544,2211084
