kirirom1,kirirom2,kamchay,atay
4338.211392,4066.356168,52564.2955,74255.4648
4284.893261,4029.006096,52084.13615,73550.7648
4232.497234,3991.776336,50416.452,72819.324
4191.18192,3954.791779,50581.4976,72158.05295
4146.026515,3918.042144,49877.05248,71487.36865
4099.000032,3881.500128,49673.65392,70879.7477
4052.708208,3845.172816,50560.49375,70333.08625
4011.74748,3813.702912,50656.4064,73828.3723
4030.45429,3799.472573,51292.764,77184.61055
3978.66181,3848.544144,51202.2211,75975.6845
3934.731341,3791.873736,51136.93295,74199.70655
3890.074464,3749.06772,49208.54976,72317.4912
3844.737619,3713.351904,46687.35024,70302.54385
3805.858656,3695.828947,46048.38336,68718.5424
3764.303539,3665.167272,46444.12128,73621.656
3725.0496,3643.638898,46968.45696,80547.9336
3688.743024,3619.54224,47210.84784,93806.3635
3651.801149,3590.143647,46965.69216,113787.1455
3618.328752,3559.528584,46000.23264,115215.8429
3587.151312,3545.052048,46569.74688,110979.7978
3714.883603,3959.514576,62802.76895,114202.5523
3889.944864,3726.16848,61496.4269,113008.6296
3727.534032,3550.63405,57442.9147,107491.536
3567.677184,3495.88656,55688.88025,99229.6483
3505.245149,3459.2076,50013.92735,91032.5952
3464.970048,3423.835699,46134.66672,84040.38575
3440.032719,3391.339968,44813.39472,89136.17135
3412.3572,3381.574608,38579.0688,96736.1357
3379.23805,3353.604336,34643.47536,94233.51215
3342.465346,3320.258256,34860.01536,89803.60705
3305.654496,3287.160447,35739.37728,85176.1008
3269.633904,3254.63616,35173.77048,80908.7616
3234.376656,3222.655848,33670.70467,77025.8635
3199.830912,3191.185944,32455.5552,73384.0603
3165.946301,3160.189037,34406.27107,70178.3611
3132.677376,3129.633072,35537.34384,67235.4605
3099.98232,3099.490272,35425.62648,64794.00385
3067.824845,3069.734544,36941.54256,63095.05585
3037.150944,3040.356082,35936.2656,61897.85855
3006.170496,3011.325552,39926.33424,61109.2123
2975.368896,2982.6252,42543.78336,60556.77505
2953.561968,2956.694616,39665.70864,59900.84785
2931.1848,2931.074424,37303.12656,59292.0907
2907.477331,2906.318621,34422.93375,58653.5472
2878.405416,2879.377632,34136.07106,58063.10255
2848.897872,2852.172,33446.05215,57510.0043
2824.882344,2835.552528,42570.30384,57141.1109
3256.983648,3170.943072,43434.62352,73850.53825
3154.291459,2979.794477,41516.68176,102241.021
2906.299872,2862.511488,41588.51472,111857.5008
2810.688768,2839.897757,39934.81872,106991.4528
2791.451808,3633.049152,37201.35168,115599.0226
2778.292008,3482.645069,36665.028,125393.5426
2878.913448,3352.93776,35345.45376,129519.1037
3179.033352,3434.105808,34652.35728,141734.7418
4285.100319,4811.386608,38778.65928,168452.6458
5470.749505,5005.796545,41351.91264,200828.6179
5848.62552,6793.65576,44451.7416,253546.2994
5602.22136,7604.5608,44060.12064,283030.5672
5182.245215,6908.80752,41282.37792,277492.2365
4562.19864,6065.93405,38915.43264,253124.2224
4065.113088,5299.48008,36655.4376,227330.5263
3782.63304,4620.774816,32406.55474,238505.1351
3537.713664,4069.525968,30944.96611,232124.3741
3378.902688,3828.500208,31918.3848,230209.4304
3329.510184,6599.66443,31654.57968,294020.6688
4377.454704,8357.567905,31578.40253,322685.3376
5161.964545,8110.72181,35004.96,336967.2835
6980.364865,8853.89443,41284.01952,359342.568
10129.10659,10697.10019,53959.78945,371071.8432
13173.9277,11961.24192,66813.4008,392425.0416
15207.51024,11327.33463,76577.4216,419840.9021
17124.61608,12775.25088,84959.6861,437503.464
15739.73856,11716.01971,83692.18945,412553.8656
14113.5048,10702.78704,76624.0344,375861.0384
12552.4512,9598.69872,87620.08465,339172.0992
15021.36187,10224.48139,91030.16735,330933.0211
13940.27021,9639.04968,105881.5541,374288.8608
12459.64896,8615.66976,101646.7359,364604.7773
11262.9325,7623.68328,96468.4339,330679.5408
13847.39064,8197.514495,95214.2472,350727.1661
14358.8173,8302.436065,92508.5448,380905.9344
15557.25442,11219.41455,89963.6155,456630.8429
14220.9756,10630.31386,86797.8979,458500.3488
12696.40311,9710.93837,79790.4864,425204.0784
11340.99619,8775.85363,73514.5027,406990.7856
10176.68059,8028.740735,64612.2269,375943.5504
9310.71456,7205.16557,57782.56175,344752.2605
8523.95659,7004.826865,52833.9197,312705.4032
7760.7288,6384.29731,63740.8051,299852.064
8416.78128,7042.23288,66888.72865,303632.7552
8146.566575,8474.991985,73486.9584,342813.4704
7530.51557,8573.03568,72109.5048,389687.1552
7111.21248,8790.814225,77602.72175,387330.1632
6890.09328,8901.36043,71332.7083,391033.0944
8382.62088,9367.57267,71236.2816,428839.3152
10373.81472,10495.14063,82721.27375,444631.68
10726.3561,9771.207985,107046.9216,429497.0352
12043.10765,10068.92424,109915.5096,466696.728
12427.36431,14953.21733,111487.3243,501441.84
11439.82354,14478.96816,110888.6328,485861.0429
10628.0748,13348.39911,117543.9643,466378.0675
11948.88413,15125.65661,161934.6255,515897.251
16176.6517,17440.89149,195120.7791,539888.2415
16476.25191,19724.23613,243552.8304,591027.624
17379.34445,21673.14408,255726.4695,568095.0335
19352.59906,24079.5949,277194.1392,576069.581
21110.92157,23911.80307,274445.5738,590524.4305
20881.58832,24756.84,264384.9504,588125.7935
21875.17968,25646.65071,260249.8032,624802.205
22955.62551,28083.12336,265422.0615,651220.128
25167.3264,30616.47936,277535.7648,667223.8705
26731.07309,31034.41344,300568.8384,748018.843
27729.98496,29350.06402,335078.5104,766848.4705
27368.08128,34227.06624,349428.7296,772700.1265
28058.24707,33725.6784,369650.1053,787337.021
30176.07826,33684.59693,385259.6131,798943.824
28461.41712,30821.42016,390774.0456,760965.84
28634.51823,33737.41584,372633.048,730752.019
26917.10179,31337.29944,349612.9776,681476.371
29230.01856,28334.41042,338777.4672,643637.491
27881.55821,25557.7896,326840.9184,598898.1455
25745.7744,25084.33488,304855.3152,567539.611
23186.95459,23677.01712,281502.5875,546894.245
22018.64515,22783.9176,264193.8639,535197.672
22447.43712,21211.52271,252107.9683,531800.64
26268.20755,19394.38685,247817.3832,543808.771
26516.00448,20069.53503,244684.584,573782.832
27287.74224,21084.71472,245236.3171,599079.197
27287.98416,21228.89904,255102.4066,650352.1535
30364.10064,22524.22771,265572.7042,696866.4575
28959.70752,20657.68704,263499.6312,658899.792
28378.73405,19049.26896,269891.0064,606709.5695
27412.49218,19322.22125,280612.9872,589588.157
26559.76479,19350.01181,300476.9088,618222.8015
28691.84851,21766.50879,330089.6016,629658.4465
31426.80163,24759.14559,351692.7552,699997.5935
32139.18864,27029.76178,353048.9933,755712.8495
31297.61247,26970.28272,361001.1456,766297.973
30691.08144,28402.82496,345608.9424,802733.4575
31485.10176,28525.94496,346290.2928,806253.221
31184.93088,29871.23011,337459.9968,852512.5585
30384.02232,29281.02351,339496.8509,828200.333
31622.05267,30882.17059,349940.2349,875523.989
