year,month,day,Barkley,Center_Hill,Cheatham,Cordell_Hull,Dale_Hollow,J_Percy_Priest,Old_Hickory,Wolf_Creek
,,,Node1,Node1,Node1,Node1,Node1,Node1,Node1,Node1
2016,1,1,10066,1575,1932,2940,630,630,3850,7000
2016,1,2,10066,1575,1932,2940,630,630,3850,7000
2016,1,3,10066,1575,2016,3003,315,630,4725,7000
2016,1,4,11508,1575,2352,2772,315,630,4725,7280
2016,1,5,11746,1575,2520,2772,315,1050,5075,7000
2016,1,6,11739,945,2016,1386,105,0,3150,2800
2016,1,7,11802,945,1764,1386,105,0,3150,2800
2016,1,8,11795,1575,2520,3003,105,1260,3850,7000
2016,1,9,11795,1575,2184,3003,105,1260,3500,7000
2016,1,10,11781,1260,4620,5215,105,630,7525,7000
2016,1,11,11774,1582,4788,5313,112,630,9275,7000
2016,1,12,11760,1575,5040,5250,105,630,8750,7000
2016,1,13,11760,945,6321,2310,105,0,6825,2800
2016,1,14,11522,5040,5670,3696,105,4830,8400,2800
2016,1,15,11186,9688,6454,9618,2100,5040,14616,25480
2016,1,16,10976,17325,6069,10605,4620,5040,14616,24367
2016,1,17,11018,10724,6349,10486,4417,3360,14763,26880
2016,1,18,11270,4410,6321,10045,2100,2100,14833,15120
2016,1,19,11564,6930,6517,6468,2114,1470,12600,15120
2016,1,20,11795,4410,6230,5565,1022,1470,9800,15120
2016,1,21,11781,4410,5376,7707,105,1470,9800,15680
2016,1,22,11774,11340,5376,8442,105,1470,12600,17920
2016,1,23,11767,10038,5796,7217,105,1050,9800,18480
2016,1,24,10647,11340,6223,7245,105,210,12600,15120
2016,1,25,11753,11340,6482,7161,105,210,14014,15120
2016,1,26,10535,11340,4963,9765,105,1470,14567,8400
2016,1,27,10024,5355,4074,13167,105,1470,14105,5600
2016,1,28,9331,5355,4536,4158,105,2730,8407,5600
2016,1,29,10010,8505,5369,2541,105,5040,5950,8960
2016,1,30,10304,8505,5187,3129,105,5040,6825,8960
2016,1,31,9835,8505,5460,3234,105,5040,8225,8960
2016,2,1,9835,8505,5460,3234,105,5040,8225,8960
2016,2,2,10521,1127,1918,1659,490,385,3794,4431
2016,2,3,10374,1113,1778,2730,441,238,4543,3836
2016,2,4,10451,1288,2051,2653,301,343,4053,3381
2016,2,5,10213,1001,1869,2100,217,98,4634,3178
2016,2,6,10759,1372,2338,2737,567,1029,3374,3563
2016,2,7,10822,1484,2268,2898,189,1218,4312,2828
