kirirom,kamchay,atay
40663.5,525643,1485109
40290,520841.5,1471015
39918,504164.5,1456386
39548,505815,1443161
39180.5,498770.5,1429747
38815,496736.5,1417595
38451.5,505605,1406662
38137,506564,1476567
37994.5,512927.5,1543692
38485.5,512022,1519514
37918.5,511369.5,1483994
37490.5,492085.5,1446350
37133.5,466873.5,1406051
36958.5,460484,1374371
36651.5,464441,1472433
36436.5,469684.5,1610959
36195.5,472108.5,1876127
35901.5,469657,2275743
35595.5,460002.5,2304317
35450.5,465697.5,2219596
39595,628027.5,2284051
37261.5,614964.5,2260173
35506.5,574429,2149831
34959,556889,1984593
34592,500139.5,1820652
34238.5,461346.5,1680808
33913.5,448134,1782723
33815.5,385790.5,1934723
33536,346435,1884670
33202.5,348600,1796072
32871.5,357394,1703522
32546.5,351737.5,1618175
32226.5,336707,1540517
31912,324555.5,1467681
31602,344062.5,1403567
31296.5,355373.5,1344709
30995,354256.5,1295880
30697.5,369415.5,1261901
30403.5,359362.5,1237957
30113.5,399263.5,1222184
29826.5,425438,1211136
29567,396657,1198017
29310.5,373031.5,1185842
29063,344229.5,1173071
28794,341360.5,1161262
28521.5,334460.5,1150200
28355.5,425703,1142822
31709.5,434346,1477011
29798,415167,2044820
28625,415885,2237150
28399,399348,2139829
36330.5,372013.5,2311980
34826.5,366650.5,2507871
33529.5,353454.5,2590382
34341,346523.5,2834695
48114,387786.5,3369053
50058,413519,4016572
67936.5,444517.5,5070926
76045.5,440601,5660611
69088,412824,5549845
60659.5,389154.5,5062484
52995,366554.5,4546611
46207.5,324065.5,4770103
40695.5,309449.5,4642487
38285,319184,4604189
65996.5,316546,5880413
83575.5,315784,6453707
81107,350049.5,6739346
88539,412840,7186851
106971,539598,7421437
119612.5,668134,7848501
113273.5,765774,8396818
127752.5,849597,8750069
117160,836922,8251077
107028,766240.5,7517221
95987,876201,6783442
102245,910301.5,6618660
96390.5,1058815.5,7485777
86156.5,1016467.5,7292096
76237,964684.5,6613591
81975,952142.5,7014543
83024.5,925085.5,7618119
112194,899636,9132617
106303,867979,9170007
97109.5,797905,8504082
87758.5,735145,8139816
80287.5,646122.5,7518871
72051.5,577825.5,6895045
70048.5,528339,6254108
63843,637408,5997041
70422.5,668887.5,6072655
84750,734869.5,6856269
85730.5,721095,7793743
87908,776027,7746603
89013.5,713327,7820662
93675.5,712363,8576786
104951.5,827212.5,8892634
97712,1070469,8589941
100689,1099155,9333935
149532,1114873,10028837
144789.5,1108886.5,9717221
133484,1175439.5,9327561
151256.5,1619346.5,10317945
174409,1951208,10797765
197242.5,2435528.5,11820552
216731.5,2557264.5,11361901
240796,2771941.5,11521392
239118,2744455.5,11810489
247568.5,2643849.5,11762516
256466.5,2602498,12496044
280831,2654220.5,13024403
306165,2775357.5,13344477
310344,3005688.5,14960377
293500.5,3350785,15336969
342270.5,3494287.5,15454003
337257,3696501,15746740
336846,3852596,15978876
308214,3907740.5,15219317
337374,3726330.5,14615040
313373,3496130,13629527
283344,3387774.5,12872750
255578,3268409,11977963
250843.5,3048553,11350792
236770,2815026,10937885
227839,2641938.5,10703953
212115,2521079.5,10636013
193944,2478174,10876175
