source,sink,susceptance,line_cap,type,source_kv,sink_kv,distance,n_conductors
NamOu6,Bountari,0.046,1700,acsr,230,230,61.7553,2
NamOu5,Bountari,0.117,1700,acsr,230,230,24.0705,2
Bountari,NaMo2,0.034,1700,acsr,230,230,82.801,2
NaMo2,NaMoSwitch,0.753,250,acsr,115,115,3.71741,1
NaMoSwitch,LuangNamtha1,0.095,250,acsr,115,115,29.435,1
ChinMengLa,NaMoSwitch,0.075,250,acsr,110,110,36.5,1
NaMo2,Pakmong2,0.032,1700,acsr,230,230,88.9417,2
NaMo2,Oudomsay,0.084,800,acsr,115,115,36.2585,2
Oudomsay,Pakmong2,0.056,250,acsr,115,115,49.8575,1
Oudomsay,SeinSouk,0.025,250,acsr,115,115,109.844,1
NamOu2,Pakmong2,0.086,850,acsr,230,230,32.8616,2
Pakmong2,Luangprabang2,0.031,1700,acsr,230,230,90.8402,2
Pakmong2,Luangprabang1,0.05,400,acsr,115,115,56.2,1
SeinSouk,Luangprabang1,0.197,250,acsr,115,115,14.2168,1
Luangprabang2,Luangprabang1,0.125,310,acsr,115,115,22.4818,1
NamKhan3,Luangprabang2,0.108,250,acsr,115,115,25.8201,1
NamKhan2,Luangprabang2,0.061,800,acsr,115,115,50.3266,2
Viengkeo,Luangprabang2,0.038,1000,acsr,115,115,80.5185,2
HongsaLigniteU1,Viengkeo,0.354,1000,acsr,115,115,9.5,2
HongsaLigniteU2,Viengkeo,0.354,1000,acsr,115,115,9.5,2
HongsaLigniteU3,Viengkeo,0.354,1000,acsr,115,115,9.5,2
HongsaLigniteU1,EGATMaeMoh,0.016,3400,acsr,500,500,150.985,2
HongsaLigniteU2,EGATMaeMoh,0.016,3400,acsr,500,500,150.985,2
HongsaLigniteU3,EGATMaeMoh,0.016,3400,acsr,500,500,150.985,2
Luangprabang2,XiengNgum,0.453,310,acsr,115,115,6.18362,1
XiengNgum,Kasi,0.053,310,acsr,115,115,52.5401,1
XiengNgum,Xayabury,0.041,250,acsr,115,115,68.2,1
NamSana,Kasi,0.327,150,acsr,22,22,9.12594,1
Kasi,Viengvieng,0.058,310,acsr,115,115,48,1
NamNgum5,Viengvieng,0.063,800,acsr,115,115,48.6763,2
Viengvieng,HouycaiMining,0.205,250,acsr,115,115,13.666,1
Viengvieng,Hinheup,0.085,800,acsr,115,115,35.911,2
Luangprabang2,Hinheup,0.02,1700,acsr,230,230,139.958,2
BanDon,Hinheup,0.104,250,acsr,115,115,26.938,1
NamLik1n2,Hinheup,0.076,250,acsr,115,115,36.6315,1
NamLik1n2,BanDon,0.224,250,acsr,115,115,12.4955,1
BanDon,NonHai,0.138,250,acsr,115,115,20.3244,1
NonHai,Paklay,0.044,250,acsr,115,115,64.3161,1
Viengvieng,Thalath,0.061,310,acsr,115,115,46.2,1
Hinheup,Thalath,0.088,310,acsr,115,115,31.9166,1
NamNgum1,Thalath,0.154,800,acsr,115,115,19.78,2
NamNgum1,Nasaithong,0.054,800,acsr,115,115,56.3256,2
Hinheup,Nasaithong,0.04,1700,acsr,230,230,70.1989,2
Thalath,PhoneSoung,0.162,310,acsr,115,115,17.2631,1
PhoneSoung,Nasaithong,0.105,310,acsr,115,115,26.7696,1
Nasaithong,ThaNgon,0.164,250,acsr,115,115,17.0671,1
Nasaithong,Veingkam,0.103,250,acsr,115,115,27.1075,1
Nasaithong,Paktang,0.217,250,acsr,115,115,12.9263,1
Paktang,Phontong,0.208,250,acsr,115,115,13.4455,1
Nasaithong,Phontong,0.166,1200,acsr,115,115,18.3834,2
Veingkam,Khoksaad,0.172,250,acsr,115,115,16.2422,1
Khoksaad,Thanaleng,0.155,250,acsr,115,115,18.0538,1
Phontong,Donkoi,0.196,250,acsr,115,115,14.3229,1
Donkoi,Thanaleng,0.166,250,acsr,115,115,16.9125,1
Thanaleng,EGATNongKhai,0.257,400,acsr,115,115,10.9,2
Phontong,EGATNongKhai,0.119,800,acsr,115,115,25.7,2
NamMang3,NabongWest,0.065,800,acsr,115,115,46.6313,2
NabongWest,Khoksaad,0.067,800,acsr,115,115,45.6616,2
NamNgum2,Nabong,0.039,1700,acsr,230,230,72.6349,2
Nabong,EGATUdon3,0.046,3400,acsr,500,500,54,2
Phonsavan,Xamneual,0.017,250,acsr,115,115,166.43,1
NamNgum5,Phonsavan,0.032,250,acsr,115,115,87.0991,1
Phonsavan,Nahor,0.087,250,acsr,115,115,32.0343,1
NamNgiep3A,Nahor,0.153,250,acsr,115,115,18.2627,1
Nahor,Tongkhoun2,0.066,250,acsr,115,115,42.5377,1
Tongkhoun2,Tongkhoun1,0.156,250,acsr,115,115,17.9762,1
Tongkhoun1,PhubiaMinning,0.207,250,acsr,115,115,13.5483,1
