year,month,day,hour,NamMang1,NamNgiep2C,NamSan3B,HouayLamphan,Xenamnoy6,Xenamnoy1,NamOu6,HouayHo,NamOu5,NamOu2,NamKhan3,NamKhan2,NamSana,NamLik1n2,NamNgum5,NamNgum2,Xekaman3,NamNgum1,NamLeuk,NamMang3,NamNgiep2,NamNgiep3A,NamSan3A,NamTheun2,Xekaman1,TheunHinboun,Xeset1,Xeset3,Xeset2,Salabam
,,,,NamMang1,NamNgiep2C,NamSan3B,HouayLamphan,Xenamnoy6,Xenamnoy1,NamOu6,HouayHo,NamOu5,NamOu2,NamKhan3,NamKhan2,NamSana,NamLik1n2,NamNgum5,NamNgum2,Xekaman3,NamNgum1,NamLeuk,NamMang3,NamNgiep2,NamNgiep3A,NamSan3A,NamTheun2,Xekaman1,TheunHinboun,Xeset1,Xeset3,Xeset2,Salabam
2016,1,1,1,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,2,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,3,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,4,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,5,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,6,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,7,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,8,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,9,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,10,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,11,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,12,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,13,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,14,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,15,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,16,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
2016,1,1,17,11.98,4.05,20.88,87.24,3.66,0.46,68.62,0,42.62,30.48,18.68,116.08,2.72,99.26,117.83,350.944,45.52,146.85,59.94,14.97,94.97,11.16,18.1,1063.89,0,162.6,23.02,8.18,4.21,5
