source,sink,susceptance,line_cap,type,source_kv,sink_kv,distance,n_conductors,n_circuits,pownet_stability_limit,pownet_thermal_limit,pownet_line_capacity,pownet_reactance_pu,pownet_susceptance
NamOu6,Bountari,0.046,1700,acsr,230,230,61.7553,2,2,4488.0,845.0,845.0,22.52833344,2348
NamOu5,Bountari,0.117,1700,acsr,230,230,24.0705,2,2,11507.0,845.0,845.0,8.7809184,6024
Bountari,NaMo2,0.034,1700,acsr,230,230,82.801,2,2,3349.0,845.0,845.0,30.205804800000003,1751
NaMo2,NaMoSwitch,0.753,250,acsr,115,115,3.71741,1,1,9313.0,211.0,211.0,1.356111168,9752
NaMoSwitch,LuangNamtha1,0.095,250,acsr,115,115,29.435,1,1,1176.0,211.0,211.0,10.737888,1231
ChinMengLa,NaMoSwitch,0.075,250,acsr,115,115,36.5,1,1,949.0,211.0,211.0,13.3152,993
NaMo2,Pakmong2,0.032,1700,acsr,230,230,88.9417,2,2,3118.0,845.0,845.0,32.44593216,1630
NaMo2,Oudomsay,0.084,800,acsr,115,115,36.2585,2,2,1910.0,422.0,422.0,13.2271008,999
Oudomsay,Pakmong2,0.056,250,acsr,115,115,49.8575,1,1,695.0,211.0,211.0,18.188016,727
Oudomsay,SeinSouk,0.025,250,acsr,115,115,109.844,1,1,316.0,211.0,211.0,40.0710912,330
NamOu2,Pakmong2,0.086,850,acsr,230,230,32.8616,2,1,4215.0,422.0,422.0,11.987911680000002,4412
Pakmong2,Luangprabang2,0.031,1700,acsr,230,230,90.8402,2,2,3053.0,845.0,845.0,33.13850496,1596
Pakmong2,Luangprabang1,0.05,400,acsr,115,115,56.2,1,1,616.0,211.0,211.0,20.50176,645
SeinSouk,Luangprabang1,0.197,250,acsr,115,115,14.2168,1,1,2435.0,211.0,211.0,5.18628864,2549
Luangprabang2,Luangprabang1,0.125,310,acsr,115,115,22.4818,1,1,1540.0,211.0,211.0,8.20136064,1612
NamKhan3,Luangprabang2,0.108,250,acsr,115,115,25.8201,1,1,1341.0,211.0,211.0,9.41917248,1404
NamKhan2,Luangprabang2,0.061,800,acsr,115,115,50.3266,2,2,1376.0,422.0,422.0,18.35914368,720
Viengkeo,Luangprabang2,0.038,1000,acsr,115,115,80.5185,2,2,861.0,422.0,422.0,29.373148800000003,450
HongsaLigniteU1,Viengkeo,0.354,1000,acsr,115,115,9.5,2,2,7288.0,422.0,422.0,3.4656000000000002,3816
HongsaLigniteU2,Viengkeo,0.354,1000,acsr,115,115,9.5,2,2,7288.0,422.0,422.0,3.4656000000000002,3816
HongsaLigniteU3,Viengkeo,0.354,1000,acsr,115,115,9.5,1,1,3644.0,211.0,211.0,3.4656000000000002,3816
HongsaLigniteU1,EGATMaeMoh,0.016,3400,acsr,500,500,150.985,1,1,6826.0,3481.0,3481.0,35.119111000000004,7118
HongsaLigniteU2,EGATMaeMoh,0.016,3400,acsr,500,500,150.985,1,1,6826.0,3481.0,3481.0,35.119111000000004,7118
HongsaLigniteU3,EGATMaeMoh,0.016,3400,acsr,500,500,150.985,1,1,6826.0,3481.0,3481.0,35.119111000000004,7118
Luangprabang2,XiengNgum,0.453,310,acsr,115,115,6.18362,1,1,5599.0,211.0,211.0,2.2557845760000004,5862
XiengNgum,Kasi,0.053,310,acsr,115,115,52.5401,2,2,1318.0,422.0,422.0,19.16662848,690
XiengNgum,Xayabury,0.041,250,acsr,115,115,68.2,1,1,508.0,211.0,211.0,24.879360000000002,531
NamSana,Kasi,0.327,150,acsr,22,22,9.12594,2,2,278.0,81.0,81.0,3.329142912,145
Kasi,Viengvieng,0.058,310,acsr,115,115,48.0,2,2,1443.0,422.0,422.0,17.5104,755
NamNgum5,Viengvieng,0.063,800,acsr,115,115,48.6763,1,1,712.0,211.0,211.0,17.75711424,744
Viengvieng,HouycaiMining,0.205,250,acsr,115,115,13.666,1,1,2533.0,211.0,211.0,4.9853568,2652
Viengvieng,Hinheup,0.085,800,acsr,115,115,35.911,1,1,964.0,211.0,211.0,13.1003328,1009
Luangprabang2,Hinheup,0.02,1700,acsr,230,230,139.958,1,1,993.0,422.0,422.0,51.0566784,1036
BanDon,Hinheup,0.104,250,acsr,115,115,26.938,1,1,1285.0,211.0,211.0,9.8269824,1345
NamLik1n2,Hinheup,0.076,250,acsr,115,115,36.6315,1,1,945.0,211.0,211.0,13.363171200000002,989
NamLik1n2,BanDon,0.224,250,acsr,115,115,12.4955,1,1,2771.0,211.0,211.0,4.5583584,2901
BanDon,NonHai,0.138,250,acsr,115,115,20.3244,2,2,3407.0,422.0,422.0,7.4143411200000005,1783
NonHai,Paklay,0.044,250,acsr,115,115,64.3161,2,2,1077.0,422.0,422.0,23.462513280000003,563
Viengvieng,Thalath,0.061,310,acsr,115,115,46.2,2,2,1499.0,422.0,422.0,16.85376,784
Hinheup,Thalath,0.088,310,acsr,115,115,31.9166,1,1,1085.0,211.0,211.0,11.64317568,1135
NamNgum1,Thalath,0.154,800,acsr,115,115,19.78,1,1,1750.0,211.0,211.0,7.215744000000001,1832
NamNgum1,Nasaithong,0.054,800,acsr,115,115,56.3256,1,1,615.0,211.0,211.0,20.54757888,643
Hinheup,Nasaithong,0.04,1700,acsr,230,230,70.1989,1,1,1974.0,422.0,422.0,25.608558719999998,2065
Thalath,PhoneSoung,0.162,310,acsr,115,115,17.2631,1,1,2005.0,211.0,211.0,6.2975788800000005,2100
PhoneSoung,Nasaithong,0.105,310,acsr,115,115,26.7696,1,1,1293.0,211.0,211.0,9.76555008,1354
Nasaithong,ThaNgon,0.164,250,acsr,115,115,17.0671,2,3,6086.0,633.0,633.0,6.226078080000001,2124
Nasaithong,Veingkam,0.103,250,acsr,115,115,27.1075,1,1,1277.0,211.0,211.0,9.888816,1337
Nasaithong,Paktang,0.217,250,acsr,115,115,12.9263,1,1,2678.0,211.0,211.0,4.71551424,2804
Paktang,Phontong,0.208,250,acsr,115,115,13.4455,1,1,2575.0,211.0,211.0,4.9049184,2696
Nasaithong,Phontong,0.166,1200,acsr,115,115,18.3834,1,1,1883.0,211.0,211.0,6.706264320000001,1972
Veingkam,Khoksaad,0.172,250,acsr,115,115,16.2422,2,1,2132.0,211.0,211.0,5.92515456,2232
Khoksaad,Thanaleng,0.155,250,acsr,115,115,18.0538,2,2,3835.0,422.0,422.0,6.58602624,2008
Phontong,Donkoi,0.196,250,acsr,115,115,14.3229,2,2,4834.0,422.0,422.0,5.22499392,2531
Donkoi,Thanaleng,0.166,250,acsr,115,115,16.9125,2,2,4094.0,422.0,422.0,6.1696800000000005,2143
Thanaleng,EGATNongKhai,0.257,400,acsr,115,115,10.9,2,2,6352.0,422.0,422.0,3.9763200000000003,3325
Phontong,EGATNongKhai,0.119,800,acsr,115,115,25.7,2,2,2694.0,422.0,422.0,9.37536,1410
NamMang3,NabongWest,0.065,800,acsr,115,115,46.6313,1,1,743.0,211.0,211.0,17.011098240000003,777
NabongWest,Khoksaad,0.067,800,acsr,115,115,45.6616,1,1,758.0,211.0,211.0,16.65735168,793
NamNgum2,Nabong,0.039,1700,acsr,230,230,72.6349,1,1,1908.0,422.0,422.0,26.49721152,1996
Nabong,EGATUdon3,0.046,3400,acsr,500,500,54.0,1,1,19017.0,3481.0,3481.0,12.5604,19903
Phonsavan,Xamneual,0.017,250,acsr,115,115,166.43,1,1,209.0,211.0,209.0,60.713664,217
NamNgum5,Phonsavan,0.032,250,acsr,115,115,87.0991,1,1,398.0,211.0,211.0,31.773751680000004,416
Phonsavan,Nahor,0.087,250,acsr,115,115,32.0343,1,1,1081.0,211.0,211.0,11.686112640000001,1131
NamNgiep3A,Nahor,0.153,250,acsr,115,115,18.2627,1,1,1896.0,211.0,211.0,6.66223296,1985
Nahor,Tongkhoun2,0.066,250,acsr,115,115,42.5377,1,1,814.0,211.0,211.0,15.517752960000001,852
Tongkhoun2,Tongkhoun1,0.156,250,acsr,115,115,17.9762,2,2,3852.0,422.0,422.0,6.55771776,2016
Tongkhoun1,PhubiaMinning,0.207,250,acsr,115,115,13.5483,1,1,2555.0,211.0,211.0,4.94241984,2675
NamLeuk,Tongkhoun1,0.044,250,acsr,115,115,64.1627,1,1,540.0,211.0,211.0,23.406552960000003,565
NamLeuk,NamNgum1,0.048,310,acsr,115,115,58.0784,1,1,596.0,211.0,211.0,21.187000320000003,624
Thavieng,Thabok,0.021,1700,acsr,230,230,135.503,1,1,1025.0,422.0,422.0,49.4314944,1070
NamLeuk,Thabok,0.172,310,acsr,115,115,16.2719,1,1,2128.0,211.0,211.0,5.9359891199999995,2227
NamMang1,Thabok,0.239,250,acsr,115,115,11.7196,1,1,2954.0,211.0,211.0,4.27531008,3093
