name,unit_type,fuel_type,fuel_price_optional
JMJG,coal_st,coal,3.422068113
JMJG,coal_st,coal,3.422068113
KPAR,slack,coal,3.422068113
KPAR,coal_st,coal,3.422068113
PGPS,gas_cc,coal,3.422068113
PLPS,coal_st,coal,3.422068113
PWSM,gas_cc,coal,3.422068113
TBIN,coal_st,coal,3.422068113
ATWR,gas_cc,gas,6.781588342
ATWR,gas_cc,gas,6.781588342
JNJG,gas_cc,gas,6.781588342
JNJG,gas_cc,gas,6.781588342
JNJG,gas_cc,gas,6.781588342
KPAR,gas_cc,gas,6.781588342
OLPT,coal_st,gas,6.781588342
OLPT,gas_cc,gas,6.781588342
OLPT,waste_to_energy,gas,6.781588342
OLPT,gas_gt,gas,6.781588342
PTEK,gas_gt,gas,6.781588342
PLPS,coal_st,gas,6.781588342
PLPS,gas_cc,gas,6.781588342
PTEK,gas_cc,gas,6.781588342
PTEK,gas_cc,gas,6.781588342
PTEK,gas_cc,gas,6.781588342
PTEK,gas_cc,gas,6.781588342
PWSM,gas_cc,gas,6.781588342
OLPT,gas_gt,waste,3
PGPS,shortfall,shortfall,1000
BBTU,shortfall,shortfall,1000
TBIN,shortfall,shortfall,1000
YGPE,shortfall,shortfall,1000
KAWA,shortfall,shortfall,1000
KTNN,shortfall,shortfall,1000
PWSM,shortfall,shortfall,1000
HTRG,shortfall,shortfall,1000
PGAU,shortfall,shortfall,1000
TMGR,shortfall,shortfall,1000
GNRE,shortfall,shortfall,1000
PLPS,shortfall,shortfall,1000
JNJG,shortfall,shortfall,1000
ATWR,shortfall,shortfall,1000
JMJG,shortfall,shortfall,1000
BTRK,shortfall,shortfall,1000
KPAR,shortfall,shortfall,1000
OLPT,shortfall,shortfall,1000
PTEK,shortfall,shortfall,1000
Sg_imp,import,import,66
Thai_imp1,import,import,67
Thai_imp2,import,import,67
PD,hydro,hydro,0
SASBP,hydro,hydro,0
CPS,hydro,hydro,0
SASK,hydro,hydro,0
SPUPS,hydro,hydro,0
SPLPS,hydro,hydro,0
TPS,hydro,hydro,0
SM,hydro,hydro,0
