source,sink,susceptance,line_cap
PLPS,GNRE,0.04,604
GNRE,JNJG,0.06,604
GNRE,TMGR,0.027,604
TMGR,PGAU,0.053,604
PGAU,HTRG,0.024,604
HTRG,PWSM,0.021,604
PWSM,KAWA,0.02,604
PWSM,KTNN,0.07,604
KTNN,KAWA,0.032,604
KAWA,KPAR,0.021,604
KAWA,YGPE,0.016,604
YGPE,BBTU,0.052,604
BBTU,TBIN,0.086,1722
BBTU,PGPS,0.047,604
YGPE,PTEK,0.023,604
PTEK,OLPT,0.024,604
PTEK,KPAR,0.037,604
OLPT,KPAR,0.066,604
OLPT,BTRK,0.037,604
KPAR,BTRK,0.062,1722
BTRK,ATWR,0.023,2326
JMJG,ATWR,0.126,1722
ATWR,JNJG,0.021,604
ATWR,TMGR,0.02,604
CPS,TMGR,0.045,604
PD,PGAU,6.613,604
SASK,TMGR,0.263,604
SM,HTRG,0.075,238
TPS,TMGR,56.898,604
Sg_imp,PGPS,0.113,800
Thai_imp1,PLPS,0.067,600
Thai_imp2,PLPS,0.077,360
LUMUT,ATWR,1,3333
LUMUT_GB3,ATWR,1,3333
MANJUNG_1_TO_3,JMJG,1,3333
MANJUNG_4_TO_5,JMJG,1,3333
GELUGOR,JNJG,1,3333
PRAI,JNJG,1,3333
TNB_PRAI,JNJG,1,3333
CONNAUGHT_BRIDGE,KPAR,1,3333
JIMAH,KPAR,1,3333
JIMAH_EAST,OLPT,1,3333
GSKL,OLPT,1,3333
PUTRAJAYA,OLPT,1,3333
LADANG,OLPT,1,3333
PODI,OLPT,1,3333
PT_PANGLIMA_1,PTEK,1,3333
PAGU,PGPS,1,3333
SULTAN_AZIZ_3_TO_4,PLPS,1,3333
SULTAN_AZIZ_5_TO_6,PLPS,1,3333
TEKNOLOGI_TENAGA,PLPS,1,3333
PT_PAHLAHWAN,PTEK,1,3333
PT_PANGLIMA_2,PTEK,1,3333
TUANKU_JAAFAR_PDI,PTEK,1,3333
TYANKU_JAAFAR_PDII,PTEK,1,3333
PAKA,PWSM,1,3333
SULTAN_ISAMIL,PWSM,1,3333
TANJUNG_BIN,TBIN,1,3333
