bus7,bus8,bus9,bus18,bus19
50.8887,23.4088,50.8887,50.8887,11.7044
50.0776,23.0357,50.0776,50.0776,11.5178
47.6247,21.9074,47.6247,47.6247,10.9537
45.8279,21.0809,45.8279,45.8279,10.5404
44.9296,20.6676,44.9296,44.9296,10.3338
45.8344,21.0838,45.8344,45.8344,10.5419
47.9608,22.062,47.9608,47.9608,11.031
45.0297,20.7137,45.0297,45.0297,10.3568
44.2735,20.3658,44.2735,44.2735,10.1829
45.605,20.9783,45.605,45.605,10.4891
47.1044,21.668,47.1044,47.1044,10.834
47.754,21.9668,47.754,47.754,10.9834
47.1982,21.7112,47.1982,47.1982,10.8556
47.1594,21.6933,47.1594,47.1594,10.8467
47.8122,21.9936,47.8122,47.8122,10.9968
48.7494,22.4247,48.7494,48.7494,11.2124
49.3698,22.7101,49.3698,49.3698,11.3551
50.3232,23.1487,50.3232,50.3232,11.5743
52.9376,24.3513,52.9376,52.9376,12.1756
65.1855,29.9853,65.1855,65.1855,14.9927
63.295,29.1157,63.295,63.295,14.5578
61.5305,28.304,61.5305,61.5305,14.152
58.5639,26.9394,58.5639,58.5639,13.4697
55.1997,25.3919,55.1997,55.1997,12.6959
51.1925,23.5485,51.1925,51.1925,11.7743
48.4359,22.2805,48.4359,48.4359,11.1403
46.3579,21.3247,46.3579,46.3579,10.6623
44.8261,20.62,44.8261,44.8261,10.31
44.0538,20.2647,44.0538,44.0538,10.1324
44.9877,20.6944,44.9877,44.9877,10.3472
47.6409,21.9148,47.6409,47.6409,10.9574
46.0412,21.179,46.0412,46.0412,10.5895
45.4305,20.898,45.4305,45.4305,10.449
47.7346,21.9579,47.7346,47.7346,10.979
49.7996,22.9078,49.7996,49.7996,11.4539
50.4783,23.22,50.4783,50.4783,11.61
49.9515,22.9777,49.9515,49.9515,11.4889
50.2585,23.1189,50.2585,50.2585,11.5595
51.4575,23.6704,51.4575,51.4575,11.8352
51.8097,23.8325,51.8097,51.8097,11.9162
52.595,24.1937,52.595,52.595,12.0969
53.3706,24.5505,53.3706,53.3706,12.2752
57.3714,26.3908,57.3714,57.3714,13.1954
68.4495,31.4868,68.4495,68.4495,15.7434
66.9694,30.8059,66.9694,66.9694,15.403
64.9205,29.8634,64.9205,64.9205,14.9317
60.826,27.98,60.826,60.826,13.99
59.9825,27.592,59.9825,59.9825,13.796
56.2565,25.878,56.2565,56.2565,12.939
53.348,24.5401,53.348,53.348,12.27
51.2927,23.5946,51.2927,51.2927,11.7973
49.5443,22.7904,49.5443,49.5443,11.3952
49.4086,22.728,49.4086,49.4086,11.364
50.8693,23.3999,50.8693,50.8693,11.6999
55.3613,25.4662,55.3613,55.3613,12.7331
54.2302,24.9459,54.2302,54.2302,12.473
52.2234,24.0228,52.2234,52.2234,12.0114
57.171,26.2987,57.171,57.171,13.1493
60.4835,27.8224,60.4835,60.4835,13.9112
61.5693,28.3219,61.5693,61.5693,14.1609
60.1797,27.6827,60.1797,60.1797,13.8413
60.3348,27.754,60.3348,60.3348,13.877
63.4857,29.2034,63.4857,63.4857,14.6017
63.8314,29.3625,63.8314,63.8314,14.6812
63.2433,29.0919,63.2433,63.2433,14.546
60.3574,27.7644,60.3574,60.3574,13.8822
62.4257,28.7158,62.4257,62.4257,14.3579
73.5555,33.8355,73.5555,73.5555,16.9178
71.2351,32.7682,71.2351,71.2351,16.3841
68.7048,31.6042,68.7048,68.7048,15.8021
65.2792,30.0284,65.2792,65.2792,15.0142
63.9122,29.3996,63.9122,63.9122,14.6998
60.3348,27.754,60.3348,60.3348,13.877
56.8931,26.1708,56.8931,56.8931,13.0854
54.4047,25.0262,54.4047,54.4047,12.5131
53.3544,24.543,53.3544,53.3544,12.2715
52.6823,24.2338,52.6823,52.6823,12.1169
54.1333,24.9013,54.1333,54.1333,12.4507
58.5994,26.9557,58.5994,58.5994,13.4779
57.7495,26.5648,57.7495,57.7495,13.2824
54.673,25.1496,54.673,54.673,12.5748
59.8727,27.5414,59.8727,59.8727,13.7707
63.198,29.0711,63.198,63.198,14.5355
64.1578,29.5126,64.1578,64.1578,14.7563
61.9054,28.4765,61.9054,61.9054,14.2382
61.8828,28.4661,61.8828,61.8828,14.233
64.6426,29.7356,64.6426,64.6426,14.8678
64.6264,29.7282,64.6264,64.6264,14.8641
64.1191,29.4948,64.1191,64.1191,14.7474
61.8569,28.4542,61.8569,61.8569,14.2271
65.9126,30.3198,65.9126,65.9126,15.1599
72.8962,33.5323,72.8962,72.8962,16.7661
70.1331,32.2612,70.1331,70.1331,16.1306
66.9047,30.7762,66.9047,66.9047,15.3881
63.3499,29.141,63.3499,63.3499,14.5705
63.0461,29.0012,63.0461,63.0461,14.5006
59.3879,27.3184,59.3879,59.3879,13.6592
56.4084,25.9478,56.4084,56.4084,12.9739
54.5081,25.0737,54.5081,54.5081,12.5369
52.8535,24.3126,52.8535,52.8535,12.1563
51.9196,23.883,51.9196,51.9196,11.9415
54.101,24.8864,54.101,54.101,12.4432
59.3071,27.2813,59.3071,59.3071,13.6406
58.4831,26.9022,58.4831,58.4831,13.4511
55.2773,25.4275,55.2773,55.2773,12.7138
59.4913,27.366,59.4913,59.4913,13.683
62.8749,28.9224,62.8749,62.8749,14.4612
64.4164,29.6315,64.4164,64.4164,14.8158
60.9714,28.0469,60.9714,60.9714,14.0234
61.5047,28.2921,61.5047,61.5047,14.1461
65.3762,30.073,65.3762,65.3762,15.0365
65.6735,30.2098,65.6735,65.6735,15.1049
64.4293,29.6375,64.4293,64.4293,14.8187
61.3011,28.1985,61.3011,61.3011,14.0992
62.2027,28.6132,62.2027,62.2027,14.3066
74.5056,34.2726,74.5056,74.5056,17.1363
72.4987,33.3494,72.4987,72.4987,16.6747
69.9586,32.181,69.9586,69.9586,16.0905
66.0774,30.3956,66.0774,66.0774,15.1978
63.8347,29.3639,63.8347,63.8347,14.682
59.5398,27.3883,59.5398,59.5398,13.6942
56.8608,26.156,56.8608,56.8608,13.078
54.66,25.1436,54.66,54.66,12.5718
52.6467,24.2175,52.6467,52.6467,12.1087
52.288,24.0525,52.288,52.288,12.0262
54.1559,24.9117,54.1559,54.1559,12.4559
59.3007,27.2783,59.3007,59.3007,13.6392
57.562,26.4785,57.562,57.562,13.2393
54.8701,25.2402,54.8701,54.8701,12.6201
59.4073,27.3274,59.4073,59.4073,13.6637
62.6293,28.8095,62.6293,62.6293,14.4047
63.3855,29.1573,63.3855,63.3855,14.5787
60.9811,28.0513,60.9811,60.9811,14.0257
59.7046,27.4641,59.7046,59.7046,13.7321
63.0106,28.9849,63.0106,63.0106,14.4924
62.6099,28.8005,62.6099,62.6099,14.4003
61.4562,28.2698,61.4562,61.4562,14.1349
59.6044,27.418,59.6044,59.6044,13.709
62.7456,28.863,62.7456,62.7456,14.4315
71.0057,32.6626,71.0057,71.0057,16.3313
68.4624,31.4927,68.4624,68.4624,15.7463
65.2663,30.0225,65.2663,65.2663,15.0112
61.5596,28.3174,61.5596,61.5596,14.1587
61.6565,28.362,61.6565,61.6565,14.181
58.4637,26.8933,58.4637,58.4637,13.4466
54.925,25.2655,54.925,54.925,12.6328
53.2898,24.5133,53.2898,53.2898,12.2567
51.8582,23.8548,51.8582,51.8582,11.9274
51.8033,23.8295,51.8033,51.8033,11.9147
52.8309,24.3022,52.8309,52.8309,12.1511
56.3146,25.9047,56.3146,56.3146,12.9524
57.4328,26.4191,57.4328,57.4328,13.2095
56.8769,26.1634,56.8769,56.8769,13.0817
59.8339,27.5236,59.8339,59.8339,13.7618
61.802,28.4289,61.802,61.802,14.2145
62.1607,28.5939,62.1607,62.1607,14.297
59.5398,27.3883,59.5398,59.5398,13.6942
58.9096,27.0984,58.9096,58.9096,13.5492
60.8842,28.0067,60.8842,60.8842,14.0034
60.5416,27.8491,60.5416,60.5416,13.9246
60.6838,27.9146,60.6838,60.6838,13.9573
59.8371,27.5251,59.8371,59.8371,13.7625
63.8476,29.3699,63.8476,63.8476,14.6849
70.0459,32.2211,70.0459,70.0459,16.1106
66.5751,30.6245,66.5751,66.5751,15.3123
63.3208,29.1276,63.3208,63.3208,14.5638
59.4978,27.369,59.4978,59.4978,13.6845
57.3391,26.376,57.3391,57.3391,13.188
53.8974,24.7928,53.8974,53.8974,12.3964
51.2668,23.5827,51.2668,51.2668,11.7914
