,name,unit_type,fuel_type
0,AkaraMining,shortfall,shortfall
1,AmnatCharoen,shortfall,shortfall
2,AngThong1,shortfall,shortfall
3,AngThong2,shortfall,shortfall
4,AoPhai,shortfall,shortfall
5,Ayutthaya1,shortfall,shortfall
6,Ayutthaya2,shortfall,shortfall
7,BanDon,shortfall,shortfall
8,BangKapi,shortfall,shortfall
9,BangkokNoi,shortfall,shortfall
10,BangLamung1,shortfall,shortfall
11,BangMunNak,shortfall,shortfall
12,BangPaIn1,shortfall,shortfall
13,BangPaIn2,shortfall,shortfall
14,BangPakong,shortfall,shortfall
15,BangPhli,shortfall,shortfall
16,BangSaphan,shortfall,shortfall
17,BanKhai,shortfall,shortfall
18,BanPhai,shortfall,shortfall
19,BanPong1,shortfall,shortfall
20,BanPong2,shortfall,shortfall
21,BoWin,shortfall,shortfall
22,BuengSamPhan,shortfall,shortfall
23,BuriRam,shortfall,shortfall
24,ChaAm,shortfall,shortfall
25,Chacheongsao,shortfall,shortfall
26,ChaengWatthana,shortfall,shortfall
27,ChaiBadan,shortfall,shortfall
28,ChaiNat,shortfall,shortfall
29,Chanthaburi,shortfall,shortfall
30,Chatuchak,shortfall,shortfall
31,ChiangMai1,shortfall,shortfall
32,ChiangMai2,shortfall,shortfall
33,ChiangMai3,shortfall,shortfall
34,Chiangrai,shortfall,shortfall
35,ChomBueng,shortfall,shortfall
36,ChomThien,shortfall,shortfall
37,ChomThong,shortfall,shortfall
38,ChonBuri,shortfall,shortfall
39,ChonBuri2,shortfall,shortfall
40,ChumPhae,shortfall,shortfall
41,Chumphon,shortfall,shortfall
42,DoembangNangbuat,shortfall,shortfall
43,HangChat,shortfall,shortfall
44,HatYai1,shortfall,shortfall
45,HatYai2,shortfall,shortfall
46,HuaHin,shortfall,shortfall
47,HuaWat,shortfall,shortfall
48,KaengKhoi,shortfall,shortfall
49,Kalasin,shortfall,shortfall
50,Kamphaengphet,shortfall,shortfall
51,KamphaengSaen,shortfall,shortfall
52,Kanchanaburi,shortfall,shortfall
53,Kanchanaburi2,shortfall,shortfall
54,Kantharalak,shortfall,shortfall
55,Khanom,shortfall,shortfall
56,KhlongNgae,shortfall,shortfall
57,Khong,shortfall,shortfall
58,KhonKaen1,shortfall,shortfall
59,KhonKaen2,shortfall,shortfall
60,KhonKaen3,shortfall,shortfall
61,Klaeng,shortfall,shortfall
62,Krabi,shortfall,shortfall
63,Lampang1,shortfall,shortfall
64,Lamphun2,shortfall,shortfall
65,LamPooRa,shortfall,shortfall
66,LangSuan,shortfall,shortfall
67,LanKrabu,shortfall,shortfall
68,LatPhrao,shortfall,shortfall
69,Loei,shortfall,shortfall
70,LomSak,shortfall,shortfall
71,LopBuri1,shortfall,shortfall
