name,node,unit_type,fuel_type,max_capacity,min_capacity,heat_rate,operation_cost,fuel_cost,fixed_cost,startup_cost,ramp_rate,min_uptime,min_downtime
PowerProspect1,PowerProspect1,biomass_st,biomass,9.9,2,14.1,26,3.02,1,1,9.9,2,2
Rojana1Sc1,Rojana1Sc1,waste_heat_st,waste_heat,61,8,14.1,26,3.02,1.2,50,38,6,6
AyuthayaMill1,AyuthayaMill1,coal_st,coal,56.6,7,10.05,4.6,5,2.7,90,36,10,10
WangNoi1Sc1,WangNoi1Sc1,waste_heat_st,waste_heat,205,41,14.1,26,3.02,1.2,50,205,6,6
WangNoi2Sc1,WangNoi2Sc1,waste_heat_st,waste_heat,205,41,14.1,26,3.02,1.2,50,205,6,6
Bangchakrefineryu1,Bangchakrefineryu1,oil_st,oil,19,1,10.19,3.17,8,1.5,50,6,1,1
LatKrabangSc1,LatKrabangSc1,waste_heat_st,waste_heat,40,8,14.1,26,3.02,1.2,50,40,6,6
Bangbo,Bangbo,gas_gt,gas,350,70,11.21,2,5.85,1.7,70,350,1,1
SamutprakarnSc1,SamutprakarnSc1,waste_heat_st,waste_heat,54,11,14.1,26,3.02,1.2,50,54,6,6
BangkokHsfcPlant1,BangkokHsfcPlant1,coal_st,coal,46,5,10.05,4.6,5,2.7,90,10,10,10
NongKhaem1,NongKhaem1,gas_ic,gas,9.38,2,9.18,3.17,5.85,1.5,70,9.38,1,1
TorayNylonIc5,TorayNylonIc5,oil_ic,oil,5,1,10.33,3.17,8,1.5,50,5,1,1
Bangpakongu1,Bangpakongu1,gas_cc,gas,550,110,7.65,2,5.85,1.2,70,550,4,4
Bangpakongu2,Bangpakongu2,gas_cc,gas,550,110,7.65,2,5.85,1.2,70,550,4,4
Bangpakongu3,Bangpakongu3,gas_st,gas,600,120,11.21,2,5.85,1.2,70,600,6,6
Bangpakongu4,Bangpakongu4,gas_st,gas,600,120,11.21,2,5.85,1.2,70,600,6,6
BangPakongCc1Sc1,BangPakongCc1Sc1,waste_heat_st,waste_heat,120,24,14.1,26,3.02,1.2,50,120,6,6
Bowinpowercc1,Bowinpowercc1,gas_gt,gas,370,74,11.21,2,5.85,1.7,70,370,1,1
Bowinpowercc2,Bowinpowercc2,gas_gt,gas,370,74,11.21,2,5.85,1.7,70,370,1,1
BanBueng1,BanBueng1,biomass_st,biomass,9.9,2,14.1,26,3.02,1,1,9.9,2,2
AmataNakorn2BSc1,AmataNakorn2BSc1,waste_heat_st,waste_heat,23,5,14.1,26,3.02,1.2,50,23,6,6
Bpwha1Sc1,Bpwha1Sc1,waste_heat_st,waste_heat,160,8,14.1,26,3.02,1.2,50,40,6,6
SabcoBiomass1,SabcoBiomass1,biomass_st,biomass,9.5,2,14.1,26,3.02,1,1,9.5,2,2
