name,unit_type,fuel_type,max_capacity,min_capacity,heat_rate,operation_cost,fixed_cost,startup_cost,ramp_rate,min_uptime,min_downtime
PowerProspect1,biomass_st,biomass,9.9,2,14.1,26,1,1,9.9,2,2
Rojana1Sc1,wsth_st,wsth,61,8,14.1,26,1.2,50,38,6,6
AyuthayaMill1,coal_st,coal,56.6,7,10.05,4.6,2.7,90,36,10,10
WangNoi1Sc1,wsth_st,wsth,205,41,14.1,26,1.2,50,205,6,6
WangNoi2Sc1,wsth_st,wsth,205,41,14.1,26,1.2,50,205,6,6
Bangchakrefineryu1,oil_st,oil,19,1,10.19,3.17,1.5,50,6,1,1
LatKrabangSc1,wsth_st,wsth,40,8,14.1,26,1.2,50,40,6,6
Bangbo,gas_gt,gas,350,70,11.21,2,1.7,70,350,1,1
SamutprakarnSc1,wsth_st,wsth,54,11,14.1,26,1.2,50,54,6,6
BangkokHsfcPlant1,coal_st,coal,46,5,10.05,4.6,2.7,90,10,10,10
NongKhaem1,gas_ic,gas,9.38,2,9.18,3.17,1.5,70,9.38,1,1
TorayNylonIc5,oil_ic,oil,5,1,10.33,3.17,1.5,50,5,1,1
Bangpakongu1,gas_cc,gas,550,110,7.65,2,1.2,70,550,4,4
Bangpakongu2,gas_cc,gas,550,110,7.65,2,1.2,70,550,4,4
Bangpakongu3,gas_st,gas,600,120,11.21,2,1.2,70,600,6,6
Bangpakongu4,gas_st,gas,600,120,11.21,2,1.2,70,600,6,6
BangPakongCc1Sc1,wsth_st,wsth,120,24,14.1,26,1.2,50,120,6,6
Bowinpowercc1,gas_gt,gas,370,74,11.21,2,1.7,70,370,1,1
Bowinpowercc2,gas_gt,gas,370,74,11.21,2,1.7,70,370,1,1
BanBueng1,biomass_st,biomass,9.9,2,14.1,26,1,1,9.9,2,2
AmataNakorn2BSc1,wsth_st,wsth,23,5,14.1,26,1.2,50,23,6,6
Bpwha1Sc1,wsth_st,wsth,160,8,14.1,26,1.2,50,40,6,6
SabcoBiomass1,biomass_st,biomass,9.5,2,14.1,26,1,1,9.5,2,2
KaengKhoiFactory,coal_st,coal,17.2,3,10.05,4.6,2.7,90,17.2,10,10
Gulfjpns,gas_cc,gas,800,160,7.65,2,1.2,70,800,4,4
Gulfjput,gas_cc,gas,800,160,7.65,2,1.2,70,800,4,4
Kaengkhoi2U1,gas_gt,gas,734,147,11.21,2,1.7,70,734,1,1
Kaengkhoi2U2,gas_gt,gas,734,147,11.21,2,1.7,70,734,1,1
VajiralongkornIc,oil_ic,oil,5,1,10.33,3.17,1.5,50,5,1,1
WangSalaMill1,coal_st,coal,60.2,5,10.05,4.6,2.7,90,26.2,10,10
WangSalaMill2,coal_st,coal,34,7,10.05,4.6,2.7,90,34,10,10
Khanomcc,gas_cc,gas,678,136,7.65,2,1.2,70,678,4,4
Khanom,gas_gt,gas,70.2,14,11.21,2,1.7,70,70.2,1,1
Krabi,gas_st,gas,340,68,11.21,2,1.2,70,340,6,6
LampangCementPlant1,wsth_st,wsth,8.5,2,14.1,26,1.2,50,8.46,6,6
Lankrabue,oil_gt,oil,14,3,13.54,3.17,1.5,50,14,1,1
Maehongson,oil_st,oil,6,1,10.19,3.17,1.5,50,6,1,1
ChiangMaiWte1,gas_ic,gas,25,5,9.18,3.17,1.5,70,25,1,1
Chiangmaifangu1,oil_ic,oil,12,1,10.33,3.17,1.5,50,6,1,1
Nakhonpathom,biomass_st,biomass,9.9,2,14.1,26,1,1,9.9,2,2
AmpharSampran1,coal_st,coal,14.9,3,10.05,4.6,2.7,90,14.9,10,10
KampaengsaenWestIc1,gas_ic,gas,64,2,9.18,3.17,1.5,70,8,1,1
AmpharSampranIc1,oil_ic,oil,11,1,10.33,3.17,1.5,50,5.5,1,1
KoratGt1,oil_gt,oil,28,3,13.54,3.17,1.5,50,14,1,1
CrbChangRaek1,biomass_st,biomass,19,2,14.1,26,1,1,9.5,2,2
ThungSongCement1,wsth_st,wsth,20.5,4,14.1,26,1.2,50,20.5,6,6
Maptaphutu1,gas_gt,gas,673.25,135,11.21,2,1.7,70,673.25,1,1
Maptaphutu2,gas_gt,gas,673.25,135,11.21,2,1.7,70,673.25,1,1
NongChokGt3,gas_gt,gas,244,24,11.21,2,1.7,70,122,1,1
