Year,Month,Day,Hour,Chaiyaphum1,NakhonRatchasima2
2016,1,1,0,25.8,40.8
2016,1,1,1,25.8,40.8
2016,1,1,2,25.8,40.8
2016,1,1,3,25.8,40.8
2016,1,1,4,25.8,40.8
2016,1,1,5,25.8,40.8
2016,1,1,6,25.8,40.8
2016,1,1,7,25.8,40.8
2016,1,1,8,25.8,40.8
2016,1,1,9,25.8,40.8
2016,1,1,10,25.8,40.8
2016,1,1,11,25.8,40.8
2016,1,1,12,25.8,40.8
2016,1,1,13,25.8,40.8
2016,1,1,14,25.8,40.8
2016,1,1,15,25.8,40.8
2016,1,1,16,25.8,40.8
2016,1,1,17,25.8,40.8
2016,1,1,18,25.8,40.8
2016,1,1,19,25.8,40.8
2016,1,1,20,25.8,40.8
2016,1,1,21,25.8,40.8
2016,1,1,22,25.8,40.8
2016,1,1,23,25.8,40.8
2016,1,2,0,22.7,43.9
2016,1,2,1,22.7,43.9
2016,1,2,2,22.7,43.9
2016,1,2,3,22.7,43.9
2016,1,2,4,22.7,43.9
2016,1,2,5,22.7,43.9
2016,1,2,6,22.7,43.9
2016,1,2,7,22.7,43.9
2016,1,2,8,22.7,43.9
2016,1,2,9,22.7,43.9
2016,1,2,10,22.7,43.9
2016,1,2,11,22.7,43.9
2016,1,2,12,22.7,43.9
2016,1,2,13,22.7,43.9
2016,1,2,14,22.7,43.9
2016,1,2,15,22.7,43.9
2016,1,2,16,22.7,43.9
2016,1,2,17,22.7,43.9
2016,1,2,18,22.7,43.9
2016,1,2,19,22.7,43.9
2016,1,2,20,22.7,43.9
2016,1,2,21,22.7,43.9
2016,1,2,22,22.7,43.9
2016,1,2,23,22.7,43.9
2016,1,3,0,22.7,31.4
2016,1,3,1,22.7,31.4
2016,1,3,2,22.7,31.4
2016,1,3,3,22.7,31.4
2016,1,3,4,22.7,31.4
2016,1,3,5,22.7,31.4
2016,1,3,6,22.7,31.4
2016,1,3,7,22.7,31.4
2016,1,3,8,22.7,31.4
2016,1,3,9,22.7,31.4
2016,1,3,10,22.7,31.4
2016,1,3,11,22.7,31.4
2016,1,3,12,22.7,31.4
2016,1,3,13,22.7,31.4
2016,1,3,14,22.7,31.4
2016,1,3,15,22.7,31.4
2016,1,3,16,22.7,31.4
2016,1,3,17,22.7,31.4
2016,1,3,18,22.7,31.4
2016,1,3,19,22.7,31.4
2016,1,3,20,22.7,31.4
2016,1,3,21,22.7,31.4
2016,1,3,22,22.7,31.4
2016,1,3,23,22.7,31.4
2016,1,4,0,23.1,30.6
2016,1,4,1,23.1,30.6
2016,1,4,2,23.1,30.6
