source,sink,susceptance,line_cap,source_kv,sink_kv,n_circuits,distance,n_conductors
304IPNPPA9,SimahaPhot,0.21,1700,115,115,2,16,2
AkaraMining,Phetchabun,0.056,850,115,115,1,50,1
AngThong1,Ayutthaya1,0.099,1000,115,115,2,31,2
AngThong1,SingBuri,0.057,850,115,115,1,49,1
AngThong1,Thalan1,0.173,1200,115,115,3,18,2
AngThong2,Ayutthaya1,0.139,1000,115,115,2,22,2
AngThong2,DoembangNangbuat,0.045,850,115,115,1,62,1
AngThong2,SaiNoi,0.041,1700,230,230,2,68,2
AngThong2,SuphanBuri,0.062,850,115,115,1,45,1
AngThong2,Thalan3,0.034,1700,230,230,2,84,2
AoPhai,BangLamung1,0.2,850,115,115,1,14,1
AoPhai,BoWin,0.097,1700,230,230,2,29,2
AoPhai,ChonBuri2,0.215,850,115,115,1,13,1
AoPhai,Rayong2,0.074,1700,230,230,2,38,2
Ayutthaya1,Ayutthaya2,0.204,1000,115,115,2,15,2
Ayutthaya1,BangPaIn1,0.127,1000,115,115,2,24,2
Ayutthaya2,Phachi2,0.169,800,69,69,1,18,1
BaanRai,Manorom,0.082,850,115,115,1,34,1
BangchakRefinery,Ratchadaphisek,0.282,1700,230,230,2,10,2
BangKapi,Ratchadaphisek,0.128,1700,230,230,2,22,2
BangLangDam,Yala2,0.122,1000,115,115,2,25,2
BangPaIn1,AngThong1,0.07,1700,115,115,2,16,2
BangPaIn1,BangPaIn2,0.191,1000,230,230,2,40,2
BangPaIn2,NavaNakhon,0.217,3400,230,230,4,13,2
BangPaIn2,Saraburi2,0.031,2500,230,230,2,91,2
BangPakong,PhanThong,0.217,1700,230,230,2,13,2
BangPhli,OnNuch,0.128,1700,230,230,2,22,2
BangPhli,Theparak,0.128,1700,230,230,2,22,2
BangSaphan,Chumphon,0.041,1700,230,230,2,69,2
BangSaphan,LangSuan,0.019,1700,230,230,2,152,2
BanKhai,PluakDaeng,0.141,3400,230,230,2,20,2
BanPong1,Ratchaburi3,0.166,3400,230,230,4,17,2
BanPong2,BanPong1,0.117,850,115,115,1,24,1
BanPong2,KamphaengSaen,0.097,850,115,115,1,29,1
BanPong2,Kanchanaburi2,0.088,1050,230,230,1,32,2
BanPong2,NakhonChaisi,0.078,1700,230,230,2,36,2
BanPong2,SaiNoi,0.064,1700,230,230,2,44,2
BanPong2,ThaMuang,0.112,850,115,115,1,25,1
BanVean,NakhonPhanom,0.066,850,230,230,1,42.7,2
BanVean,SakonNakhon,0.045,850,230,230,1,62.8,2
BhumibolDam,NakhonSawan,0.014,1050,230,230,1,202,2
BhumibolDam,Tak1,0.064,850,115,115,1,44,1
BhumibolDam,Tak2,0.038,1700,230,230,2,74,2
BhumibolDam,Thoeng,0.037,850,115,115,1,76,1
BoWin,BanBueng,0.204,1000,115,115,2,15,2
BoWin,Rayong2,0.094,1700,230,230,2,30,2
BuengKan,PhangKhon,0.033,850,115,115,1,84,1
BuengKan,SakonNakhon,0.084,1200,115,115,3,37,2
BuriRam,PrakhonChai,0.053,850,115,115,1,53,1
BuriRam,Surin2,0.039,1700,230,230,2,72,2
ChaAm,HuaHin,0.14,850,115,115,1,20,1
Chacheongsao,ChonBuri3,0.215,850,115,115,1,13,1
Chacheongsao,PrachinBuri1,0.047,1000,115,115,2,65,2
ChaengWatthana,Chatuchak,0.128,1700,230,230,1,22,2
ChaengWatthana,LatPhrao,0.128,2550,230,230,3,22,2
ChaengWatthana,Nonthaburi,0.282,1700,230,230,2,10,2
Chaiyaphum1,Phon,0.038,850,115,115,1,74,1
Chanthaburi,BanKhai,0.043,1700,230,230,2,66,2
Chanthaburi,Klaeng,0.057,850,115,115,1,49,1
Chatuchak,BangkokNoi,0.128,2550,230,230,3,22,2
ChiangMai1,ChiangMai2,0.17,1000,115,115,2,18,2
ChiangMai2,MaeTaeng,0.078,850,115,115,1,36,1
ChiangMai3,ChiangMai1,0.09,1000,115,115,2,34,2
ChiangMai3,MaeHongSon,0.082,850,115,115,1,34,1
Chiangrai,MaeChan,0.088,850,115,115,1,32,1
Chiangrai,Thoeng,0.036,850,115,115,1,77,1
ChomBueng,BangSaphan,0.01,3400,500,500,2,255,2
ChomBueng,Ratchaburi3,0.059,3400,500,500,2,42,2
ChomThien,AoPhai,0.104,850,115,115,1,27,1
ChomThien,BangLamung1,0.255,850,115,115,1,11,1
ChomThien,Sattahip1,0.28,850,115,115,1,10,1
ChonBuri2,BangLamung1,0.14,850,115,115,1,20,1
ChonBuri2,BoWin,0.217,1700,230,230,2,13,2
