source,sink,source_kv,sink_kv,stability_limit,thermal_limit,line_capacity,max_kv,reactance_per_km,reactance_pu,susceptance
304IPNPPA9,SimahaPhot,115,115,4327,422,422,115,0.3648,5.8368,2265
AkaraMining,Phetchabun,115,115,692,211,211,115,0.3648,18.240000000000002,725
AngThong1,Ayutthaya1,115,115,2233,422,422,115,0.3648,11.3088,1169
AngThong1,SingBuri,115,115,706,211,211,115,0.3648,17.8752,739
AngThong1,Thalan1,115,115,5770,633,633,115,0.3648,6.5664,2014
AngThong2,Ayutthaya1,115,115,3147,422,422,115,0.3648,8.0256,1647
AngThong2,DoembangNangbuat,115,115,558,211,211,115,0.3648,22.6176,584
AngThong2,SaiNoi,230,230,4076,844,844,230,0.3648,24.8064,2132
AngThong2,SuphanBuri,115,115,769,211,211,115,0.3648,16.416,805
AngThong2,Thalan3,230,230,3301,844,844,230,0.3648,30.6432,1726
AoPhai,BangLamung1,115,115,2472,211,211,115,0.3648,5.107200000000001,2589
AoPhai,BoWin,230,230,9551,844,844,230,0.3648,10.5792,5000
AoPhai,ChonBuri2,115,115,2663,211,211,115,0.3648,4.7424,2788
AoPhai,Rayong2,230,230,7290,844,844,230,0.3648,13.862400000000001,3816
Ayutthaya1,Ayutthaya2,115,115,4616,422,422,115,0.3648,5.472,2416
Ayutthaya1,BangPaIn1,115,115,2885,422,422,115,0.3648,8.7552,1510
Ayutthaya2,Phachi2,69,69,692,126,126,69,0.3648,6.5664,725
BaanRai,Manorom,115,115,1018,211,211,115,0.3648,12.4032,1066
BangchakRefinery,Ratchadaphisek,230,230,27695,844,844,230,0.3648,3.648,14501
BangKapi,Ratchadaphisek,230,230,12589,844,844,230,0.3648,8.0256,6591
BangLangDam,Yala2,115,115,2769,422,422,115,0.3648,9.120000000000001,1450
BangPaIn1,AngThong1,115,115,4327,422,422,115,0.3648,5.8368,2265
BangPaIn1,BangPaIn2,230,230,6925,844,844,230,0.3648,14.592,3625
BangPaIn2,NavaNakhon,230,230,42609,1689,1689,230,0.3648,4.7424,11154
BangPaIn2,Saraburi2,230,230,3048,844,844,230,0.3648,33.1968,1593
BangPakong,PhanThong,230,230,21304,844,844,230,0.3648,4.7424,11154
BangPhli,OnNuch,230,230,12589,844,844,230,0.3648,8.0256,6591
BangPhli,Theparak,230,230,12589,844,844,230,0.3648,8.0256,6591
BangSaphan,Chumphon,230,230,4017,844,844,230,0.3648,25.171200000000002,2101
BangSaphan,LangSuan,230,230,1829,844,844,230,0.3648,55.449600000000004,954
BanKhai,PluakDaeng,230,230,13848,844,844,230,0.3648,7.296,7250
BanPong1,Ratchaburi3,230,230,32584,1689,1689,230,0.3648,6.2016,8530
BanPong2,BanPong1,115,115,1442,211,211,115,0.3648,8.7552,1510
BanPong2,KamphaengSaen,115,115,1193,211,211,115,0.3648,10.5792,1250
BanPong2,Kanchanaburi2,230,230,4328,422,422,230,0.3648,11.6736,4531
BanPong2,NakhonChaisi,230,230,7694,844,844,230,0.3648,13.1328,4028
BanPong2,SaiNoi,230,230,6296,844,844,230,0.3648,16.0512,3295
BanPong2,ThaMuang,115,115,1384,211,211,115,0.3648,9.120000000000001,1450
BanVean,NakhonPhanom,230,230,3244,422,422,230,0.3648,15.576960000000001,3396
BanVean,SakonNakhon,230,230,2206,422,422,230,0.3648,22.90944,2309
BhumibolDam,NakhonSawan,230,230,690,422,422,230,0.3648,73.6896,717
BhumibolDam,Tak1,115,115,787,211,211,115,0.3648,16.0512,823
BhumibolDam,Tak2,230,230,3746,844,844,230,0.3648,26.9952,1959
BhumibolDam,Thoeng,115,115,455,211,211,115,0.3648,27.724800000000002,477
BoWin,BanBueng,115,115,4616,422,422,115,0.3648,5.472,2416
BoWin,Rayong2,230,230,9233,844,844,230,0.3648,10.944,4833
BuengKan,PhangKhon,115,115,412,211,211,115,0.3648,30.6432,431
BuengKan,SakonNakhon,115,115,2807,633,633,115,0.3648,13.4976,979
BuriRam,PrakhonChai,115,115,653,211,211,115,0.3648,19.334400000000002,684
BuriRam,Surin2,230,230,3850,844,844,230,0.3648,26.2656,2014
ChaAm,HuaHin,115,115,1731,211,211,115,0.3648,7.296,1812
Chacheongsao,ChonBuri3,115,115,2663,211,211,115,0.3648,4.7424,2788
Chacheongsao,PrachinBuri1,115,115,1066,422,422,115,0.3648,23.712,557
ChaengWatthana,Chatuchak,230,230,6294,422,422,230,0.3648,8.0256,6591
ChaengWatthana,LatPhrao,230,230,18884,1266,1266,230,0.3648,8.0256,6591
ChaengWatthana,Nonthaburi,230,230,27695,844,844,230,0.3648,3.648,14501
Chaiyaphum1,Phon,115,115,468,211,211,115,0.3648,26.9952,489
Chanthaburi,BanKhai,230,230,4199,844,844,230,0.3648,24.076800000000002,2197
Chanthaburi,Klaeng,115,115,706,211,211,115,0.3648,17.8752,739
Chatuchak,BangkokNoi,230,230,18884,1266,1266,230,0.3648,8.0256,6591
ChiangMai1,ChiangMai2,115,115,3846,422,422,115,0.3648,6.5664,2014
ChiangMai2,MaeTaeng,115,115,961,211,211,115,0.3648,13.1328,1007
ChiangMai3,ChiangMai1,115,115,2036,422,422,115,0.3648,12.4032,1066
ChiangMai3,MaeHongSon,115,115,1018,211,211,115,0.3648,12.4032,1066
Chiangrai,MaeChan,115,115,1082,211,211,115,0.3648,11.6736,1132
Chiangrai,Thoeng,115,115,450,211,211,115,0.3648,28.0896,470
ChomBueng,BangSaphan,500,500,8146,6962,6962,500,0.2326,59.313,4214
ChomBueng,Ratchaburi3,500,500,48890,6962,6962,500,0.2326,9.7692,25590
ChomThien,AoPhai,115,115,1282,211,211,115,0.3648,9.8496,1342
ChomThien,BangLamung1,115,115,3147,211,211,115,0.3648,4.0128,3295
ChomThien,Sattahip1,115,115,3461,211,211,115,0.3648,3.648,3625
ChonBuri2,BangLamung1,115,115,1731,211,211,115,0.3648,7.296,1812
ChonBuri2,BoWin,230,230,21304,844,844,230,0.3648,4.7424,11154
ChonBuri3,ChonBuri,115,115,2769,422,422,115,0.3648,9.120000000000001,1450
ChonBuri,AoPhai,230,230,7914,844,844,230,0.3648,12.768,4143
ChonBuri,BangPhli,230,230,15829,1689,1689,230,0.3648,12.768,4143
ChonBuri,NongChok,230,230,15829,1689,1689,230,0.3648,12.768,4143
ChonBuri,PrachinBuri2,230,230,2747,844,844,230,0.3648,36.8448,1435
ChonBuri,Rangsit,230,230,3014,844,844,230,0.3648,33.5616,1576
ChulabhornDam,ChumPhae,115,115,524,211,211,115,0.3648,24.076800000000002,549
Chumphon,SuratThani,230,230,1676,844,844,230,0.3648,60.5568,873
Donkoi,Thanaleng,115,115,2048,211,211,115,0.3648,6.16512,2145
