name,fuel_type,marginal_cost
Sirindhorn,hydropower,0
BangLangDam,hydropower,0
BhumibolDam,hydropower,0
ChulabhornDam,hydropower,0
KaengKrachanDam,hydropower,0
KiridharnDam,hydropower,0
LamTakhongJVDam,hydropower,0
PakMunDam,hydropower,0
RajjaprabhaDam,hydropower,0
SirikitDam,hydropower,0
SrinagarindDam,hydropower,0
ThungNaDam,hydropower,0
UbolratanaDam,hydropower,0
VajiralongkornDam,hydropower,0
Sukhothai,solar,0
SakonNakhon,solar,0
Salokbat,solar,0
Phrae,solar,0
PranBuri,solar,0
ThatPhanom,solar,0
Pangnga2,solar,0
ChonBuri3,solar,0
NakhonPhanom,solar,0
Thalan2,solar,0
Ubon2,solar,0
LopBuri2,solar,0
NakhonNayok,solar,0
NakhonChaisi,solar,0
Pattani,solar,0
Chaiyaphum1,wind,0
NakhonRatchasima2,wind,0
NamNgum1,import,40
NamLeuk,import,40
NamMang3,import,40
NamNgum2,import,40
TheunHinboun,import,40
NamTheun2,import,40
HouayHo,import,40
Xeset1,import,40
Xeset2,import,40
