datetime,temp,precipitation,ground_irradiance,toa_irradiance,cloud_cover,sunrise,sunset
1/1/2019 0:00,19.144,0,0,0,0.867,6:00:00,17:00:00
1/1/2019 1:00,18.493,0,0,0,0.876,6:00:00,17:00:00
1/1/2019 2:00,17.782,0,0,0,0.935,6:00:00,17:00:00
1/1/2019 3:00,17.154,0,0,0,0.939,6:00:00,17:00:00
1/1/2019 4:00,16.594,0,0,0,0.906,6:00:00,17:00:00
1/1/2019 5:00,16.149,0,0,0,0.819,6:00:00,17:00:00
1/1/2019 6:00,15.815,0,4.32,13.746,0.77,6:00:00,17:00:00
1/1/2019 7:00,17.258,0,114.611,250.502,0.536,6:00:00,17:00:00
1/1/2019 8:00,19.216,0,311.513,543.74,0.333,6:00:00,17:00:00
1/1/2019 9:00,21.843,0,540.333,790.129,0.172,6:00:00,17:00:00
1/1/2019 10:00,24.346,0,719.17,973.068,0.215,6:00:00,17:00:00
1/1/2019 11:00,26.413,0,813.294,1080.039,0.192,6:00:00,17:00:00
1/1/2019 12:00,28.034,0,837.612,1103.876,0.229,6:00:00,17:00:00
1/1/2019 13:00,29.139,0,784.409,1042.678,0.397,6:00:00,17:00:00
1/1/2019 14:00,29.678,0,661.709,900.697,0.644,6:00:00,17:00:00
1/1/2019 15:00,29.566,0,481.923,687.797,0.781,6:00:00,17:00:00
1/1/2019 16:00,28.662,0,265.1,418.32,0.698,6:00:00,17:00:00
1/1/2019 17:00,25.704,0,55.962,114.705,0.51,6:00:00,17:00:00
1/1/2019 18:00,23.242,0,0,0,0.306,6:00:00,17:00:00
1/1/2019 19:00,22.713,0,0,0,0.207,6:00:00,17:00:00
1/1/2019 20:00,22.055,0,0,0,0.37,6:00:00,17:00:00
1/1/2019 21:00,21.229,0,0,0,0.604,6:00:00,17:00:00
1/1/2019 22:00,20.419,0,0,0,0.827,6:00:00,17:00:00
1/1/2019 23:00,19.7,0,0,0,0.844,6:00:00,17:00:00
1/2/2019 0:00,19.144,0,0,0,0.867,6:00:00,17:00:00
1/2/2019 1:00,18.493,0,0,0,0.876,6:00:00,17:00:00
1/2/2019 2:00,17.782,0,0,0,0.935,6:00:00,17:00:00
1/2/2019 3:00,17.154,0,0,0,0.939,6:00:00,17:00:00
1/2/2019 4:00,16.594,0,0,0,0.906,6:00:00,17:00:00
1/2/2019 5:00,16.149,0,0,0,0.819,6:00:00,17:00:00
1/2/2019 6:00,15.815,0,4.32,13.746,0.77,6:00:00,17:00:00
1/2/2019 7:00,16.671,0,123.262,251.177,0.756,6:00:00,17:00:00
1/2/2019 8:00,19.015,0,337.322,544.524,0.737,6:00:00,17:00:00
1/2/2019 9:00,21.855,0,538.935,791.129,0.779,6:00:00,17:00:00
1/2/2019 10:00,24.437,0,690.871,974.235,0.796,6:00:00,17:00:00
1/2/2019 11:00,26.601,0,785.101,1081.373,0.786,6:00:00,17:00:00
1/2/2019 12:00,28.267,0,806.192,1105.21,0.749,6:00:00,17:00:00
1/2/2019 13:00,29.33,0,737.562,1043.978,0.775,6:00:00,17:00:00
1/2/2019 14:00,29.695,0,587.816,901.947,0.824,6:00:00,17:00:00
1/2/2019 15:00,29.366,0,394.693,688.797,0.82,6:00:00,17:00:00
1/2/2019 16:00,28.314,0,205.706,419.136,0.749,6:00:00,17:00:00
1/2/2019 17:00,25.224,0,46.628,115.257,0.58,6:00:00,17:00:00
1/2/2019 18:00,22.779,0,0,0,0.535,6:00:00,17:00:00
1/2/2019 19:00,22.103,0,0,0,0.582,6:00:00,17:00:00
1/2/2019 20:00,21.546,0,0,0,0.782,6:00:00,17:00:00
1/2/2019 21:00,21.014,0,0,0,0.883,6:00:00,17:00:00
1/2/2019 22:00,20.609,0,0,0,0.9,6:00:00,17:00:00
1/2/2019 23:00,20.194,0,0,0,0.9,6:00:00,17:00:00
1/3/2019 0:00,19.741,0,0,0,0.884,6:00:00,17:00:00
