name,unit_type,fuel_type,fuel_price_optional
HongsaLigniteU1,coal,coal,5
HongsaLigniteU2,coal,coal,5
HongsaLigniteU3,coal,coal,5
Mitlao,biomass,biomass,1.5
HougAnh,biomass,biomass,1.5
ChinMengLa,import_cn,import_cn,60
EGATBungkan,import_th,import_th,200
EGATMukdahan,import_th,import_th,200
EGATRoiEt2,slack,slack,1000
EGATUbon2,slack,slack,1000
EGATUdon3,slack,slack,1000
VietPleiKu,slack,slack,1000
Nasaithong,slack,slack,1000
EGATNongKhai,slack,slack,1000
EGATMaeMoh,slack,slack,1000
EGATNakhouPhanom,slack,slack,1000
EGATSakonNakhou,slack,slack,1000
VietThanhMy,slack,slack,1000
CambKhampongsalao,slack,slack,1000
EGATSirindhorn,import_th,import_th,40
NamMang1,hydro,hydro,0
NamNgiep2C,hydro,hydro,0
NamSan3B,hydro,hydro,0
HouayLamphan,hydro,hydro,0
Xenamnoy6,hydro,hydro,0
Xenamnoy1,hydro,hydro,0
NamOu6,hydro,hydro,0
HouayHo,hydro,hydro,0
NamOu5,hydro,hydro,0
NamOu2,hydro,hydro,0
NamKhan3,hydro,hydro,0
NamKhan2,hydro,hydro,0
NamSana,hydro,hydro,0
NamLik1n2,hydro,hydro,0
NamNgum5,hydro,hydro,0
NamNgum2,hydro,hydro,0
Xekaman3,hydro,hydro,0
NamNgum1,hydro,hydro,0
NamLeuk,hydro,hydro,0
NamMang3,hydro,hydro,0
NamNgiep2,hydro,hydro,0
NamNgiep3A,hydro,hydro,0
NamSan3A,hydro,hydro,0
NamTheun2,hydro,hydro,0
Xekaman1,hydro,hydro,0
TheunHinboun,hydro,hydro,0
Xeset1,hydro,hydro,0
Xeset3,hydro,hydro,0
Xeset2,hydro,hydro,0
Salabam,hydro,hydro,0
Bountari,slack,slack,1000
LuangNamtha1,slack,slack,1001
Oudomsay,slack,slack,1002
NaMo2,slack,slack,1003
Luangprabang1,slack,slack,1004
Luangprabang2,slack,slack,1005
Pakmong2,slack,slack,1006
XiengNgum,slack,slack,1007
SeinSouk,slack,slack,1008
Xayabury,slack,slack,1009
Viengkeo,slack,slack,1010
Paklay,slack,slack,1011
Nasaithong,slack,slack,1012
ThaNgon,slack,slack,1013
Veingkam,slack,slack,1014
Paktang,slack,slack,1015
Phontong,slack,slack,1016
Donkoi,slack,slack,1017
Khoksaad,slack,slack,1018
Thanaleng,slack,slack,1019
Hinheup,slack,slack,1020
Viengvieng,slack,slack,1021
HouycaiMining,slack,slack,1022
PhoneSoung,slack,slack,1023
Thalath,slack,slack,1024
BanDon,slack,slack,1025
NonHai,slack,slack,1026
Kasi,slack,slack,1027
Phonsavan,slack,slack,1028
Nahor,slack,slack,1029
Xamneual,slack,slack,1030
Thavieng,slack,slack,1031
Tongkhoun1,slack,slack,1032
Tongkhoun2,slack,slack,1033
PhubiaMinning,slack,slack,1034
Thabok,slack,slack,1035
Paksan,slack,slack,1036
Khonsong,slack,slack,1037
Thasala,slack,slack,1038
BPompik,slack,slack,1039
NakadokMinning,slack,slack,1040
Thakhek,slack,slack,1041
Mahaxai,slack,slack,1042
MahaxaiCement,slack,slack,1043
KCLCement,slack,slack,1044
SeponMinning,slack,slack,1045
Pakbo,slack,slack,1046
Nongdeun,slack,slack,1047
BMet,slack,slack,1048
MPhin,slack,slack,1049
BanNathone,slack,slack,1050
Taothan,slack,slack,1051
Nongbong,slack,slack,1052
Paksong,slack,slack,1053
Jiangsai,slack,slack,1054
BangYo,slack,slack,1055
BanNa,slack,slack,1056
BanHat,slack,slack,1057
Sapaothong,slack,slack,1058
CambKhampongsalao,slack,slack,1059
EGATMaeMoh,slack,slack,1060
EGATNakhouPhanom,slack,slack,1061
EGATUdon3,slack,slack,1062
EGATSakonNakhou,slack,slack,1063
EGATRoiEt2,slack,slack,1064
VietPleiKu,slack,slack,1065
VietThanhMy,slack,slack,1066
EGATUbon2,slack,slack,1067
EGATNongKhai,slack,slack,1068
